transcription,recording_id,audio,model_transcription
sabena eight three eight contact rhein one two seven three seven ,011_0030,"{'array': array([-0.00155606, -0.01053786, -0.01028751, ..., -0.00125643,
       -0.00996184, -0.00356821], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_030.wav', 'sampling_rate': 16000}",SABINA EIGHT THREE EIGHT COULDN'T TAKE RINE ONE TWO SEVEN THREE SEVEN
swissair six five two zero rhein do you read ,011_0031,"{'array': array([-0.00496774, -0.00452422, -0.00207684, ...,  0.001075  ,
        0.00011436,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_031.wav', 'sampling_rate': 16000}",SPIX A UH SIX FIVE TWO CIVIL INE DO YOU READ
lufthansa eight two six eight contact zurich one three four decimal six ,011_0032,"{'array': array([-0.00567368, -0.01427911, -0.01498416, ...,  0.00127896,
       -0.00496761, -0.0086083 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_032.wav', 'sampling_rate': 16000}",LOFTINS A EIGHTTY TWO SIX AD CONTACT SEI ONE THREE FOUR DESIMAL SIX
constellation two two five one rhein identified ,011_0033,"{'array': array([-0.00316064, -0.01367345, -0.01280486, ...,  0.00173178,
       -0.0019693 , -0.00885303], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_033.wav', 'sampling_rate': 16000}",COINSTULATION TWO TWO FIVE FONRYAN IDENTIFIED
transwede one zero one contact zurich one three three decimal four ,011_0034,"{'array': array([-0.00297598, -0.00878857, -0.00709263, ...,  0.00048191,
       -0.00013697,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_034.wav', 'sampling_rate': 16000}",TRANSPEED ONE ZERO ONE CONTEXT SERI ONE THREE TREE DESMA FOUR
foxtrot sierra india set course to trasadingen ,011_0035,"{'array': array([-0.00165338, -0.01041274, -0.00204399, ...,  0.00115972,
       -0.0062904 , -0.0063298 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_035.wav', 'sampling_rate': 16000}",FOLKS WHAT'S SEA INDIA I SAID CALLS TO TROSETING AND
foxtrot sierra india report rate of climb ,011_0036,"{'array': array([-0.01108472, -0.01311453,  0.00166982, ..., -0.00470514,
       -0.00884785,  0.00138551], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_036.wav', 'sampling_rate': 16000}",FOLKS LET'S SAY AA INDIANAA PARTS RATE OFF CLIMBE
roger keep this rate until reaching ,011_0037,"{'array': array([-2.2340133e-03, -3.3730639e-03, -3.4070963e-03, ...,
       -3.5485746e-03, -7.8381682e-03, -9.9656703e-05], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_037.wav', 'sampling_rate': 16000}",HACH O KEEP THIS RATE UNTIL REACHING
swissair six five two zero rhein radar do you read ,011_0038,"{'array': array([-0.00116741, -0.01524011, -0.00810217, ..., -0.00224827,
        0.00081345, -0.00242533], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_038.wav', 'sampling_rate': 16000}",SVIS UH SIX FIVE TWO SERO VINE OF EGHT  DO U READ
foxtrot sierra india contact zurich one three three decimal four ,011_0039,"{'array': array([-0.00743418, -0.00726302, -0.00420079, ...,  0.00049573,
        0.00055522,  0.00044083], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_039.wav', 'sampling_rate': 16000}",FOLK STOS SEAH INDII CONTECT SUVI ONE THREE TREET AS MEFORE
olympic one four four rhein identified ,011_0040,"{'array': array([-0.00646673, -0.01491254, -0.01883098, ...,  0.00097166,
       -0.00872703,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_040.wav', 'sampling_rate': 16000}",OLYMPIC ONE FOUR FOUR RYON IDENTIFIED
malaysian two contact rhein one two seven three seven ,011_0041,"{'array': array([-0.00724111, -0.01074584, -0.01535242, ..., -0.00524767,
       -0.00724076, -0.00252864], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_041.wav', 'sampling_rate': 16000}",MILATION TWO CUONTECTINE ONE TWO SEVEN THREE SEVEN
georgia air rhein radar identified ,011_0042,"{'array': array([-0.00669135, -0.0145767 , -0.0102329 , ..., -0.00724987,
       -0.00243991,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_042.wav', 'sampling_rate': 16000}",CHAUCHIA A RYAN RADA IDENTIFIED
sobelair two five five seven rhein identified ,011_0043,"{'array': array([-0.00104589, -0.01537579, -0.00678077, ...,  0.00102155,
       -0.00454187, -0.00828971], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_043.wav', 'sampling_rate': 16000}",SO LAT TWO FIVE FIVE SEVEN RYAN IDENTIFIED
~k ~l ~m three hundred kilo rhein identified ,011_0044,"{'array': array([-0.00863054, -0.01584086, -0.00230244, ...,  0.00024353,
        0.00394432, -0.00465762], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_044.wav', 'sampling_rate': 16000}",CARLEM TREE HUNDRED KILO RYN IDENTIFIED HAPAKLOID SIX FIVE TREE SUIKADA ONE THRE FOUR DOS AMO SIXT O GAMANIA
station calling say again ,011_0045,"{'array': array([-0.0075813 , -0.01486582, -0.00682962, ...,  0.003264  ,
       -0.00311802, -0.01019687], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_045.wav', 'sampling_rate': 16000}",STATION CALLING THIGON
transwede one zero seven rhein identified ,011_0046,"{'array': array([-0.0100519 , -0.01478698, -0.00360208, ..., -0.00708551,
       -0.00725886,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_046.wav', 'sampling_rate': 16000}",ON SPEED ONE SEL AS SEVEN RYONITE UNDEFINED
india sierra alfa contact rhein one two seven three seven ,011_0047,"{'array': array([-0.00263194, -0.0065636 , -0.00734278, ..., -0.00754554,
       -0.00163322,  0.00153217], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_047.wav', 'sampling_rate': 16000}",INDIS YE A F I COUNTAKE LINE ONE TWO SEVEN THREE SEVEN
alitalia one one seven rhein identified olympic one four four request your heading ,011_0048,"{'array': array([-0.00403111, -0.00870767, -0.0095411 , ..., -0.00150311,
       -0.00969208,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_048.wav', 'sampling_rate': 16000}",AITALIAE ONE ONE SEVEN RYNIHT ENDY FIGD OLYMPIC ONE FOR FOR EKVEST YOUR HEADING
olympic one four four turn left heading one one five for separation ,011_0049,"{'array': array([-0.00063686, -0.01155705, -0.00835867, ...,  0.00080128,
       -0.00874568,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_049.wav', 'sampling_rate': 16000}",IMPICK ONE FOUR FOUR TURN LEFT HITTING ONE ONE FIVE FOR SEPARATION
jet set eight one seven rhein identified ,011_0050,"{'array': array([-0.00302642,  0.00151289, -0.00402081, ..., -0.00878625,
       -0.00310314, -0.00718074], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_050.wav', 'sampling_rate': 16000}",SHEHAD SAID EIGHT ONE SEVEN O RYAN IDENTIFIED
constellation two two five one contact rhein one three two decimal four ,011_0051,"{'array': array([-0.0012087 , -0.00665599, -0.01985965, ..., -0.00305705,
       -0.00742429, -0.00847932], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_051.wav', 'sampling_rate': 16000}",COINSTALATION TWO TWO FIVE ONE CONTECT LINE ONE THREE TWO DESMA FOUR
air malta zero zero four rhein radar identified ,011_0052,"{'array': array([ 0.00035328, -0.01245301, -0.01149586, ...,  0.00226545,
       -0.0095393 , -0.00675341], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_052.wav', 'sampling_rate': 16000}",AL MALTA ZERO ZERO FOUR RIN RATO IDENTITIFI ED
olympic one four four set course direct to tango ,011_0053,"{'array': array([-0.0137945 , -0.02793005, -0.00971744, ..., -0.00697853,
       -0.00095902, -0.00980222], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_053.wav', 'sampling_rate': 16000}",OLYMPIC ONE FAUR FALL SET COST I LIKE TOTUNGO
sobelair two five five seven request heading ,011_0054,"{'array': array([-0.00307738, -0.00268031, -0.00788582, ..., -0.00181172,
       -0.01094018,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_054.wav', 'sampling_rate': 16000}",SOBE AR TWO FIVE FIVE SEVEN LIK VEST HEADING
sobelair two five five seven turn left heading one one zero separation ,011_0055,"{'array': array([-0.00673453, -0.01445318, -0.00526022, ...,  0.00012773,
       -0.00848478,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_055.wav', 'sampling_rate': 16000}",SO OVE HAD TWO FIVE FIVE SEVEN TUN LEFT HEADING ONE ONE ZERO SEPARATION
georgia zero three seven contact rhein one two seven three seven ,011_0056,"{'array': array([-0.00404295, -0.00755044, -0.00576432, ..., -0.00594292,
        0.00170261,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_056.wav', 'sampling_rate': 16000}",CHAUA ZERO THREE SEVEN CUINTECT LINE ONE TWO SEVEN THREE SEVEN
viva five eight five rhein radar identified ,011_0057,"{'array': array([-0.00338795, -0.00884963, -0.00928074, ..., -0.0049682 ,
        0.00206178,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_057.wav', 'sampling_rate': 16000}",EV FIVE EHT FIVE FRYAN RATA IDENTIFY IT
air malta zero zero four for separation descend flight level three one zero ,011_0058,"{'array': array([-0.00376599,  0.00234318, -0.00736949, ...,  0.0030165 ,
       -0.01611659, -0.00836141], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_058.wav', 'sampling_rate': 16000}",AM MALTA ZERO ZERO FOUR FOR SEPARATION DECENT FLIGHT LEVEL THREE ONE ZEO
jet set eight one seven contact rhein one two seven decimal three seven ,011_0059,"{'array': array([-0.00405253, -0.00032382,  0.00239998, ..., -0.00549587,
        0.00115771,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_059.wav', 'sampling_rate': 16000}",CHETS HAID EIGHT ONE SEVEN CONTECTRINE ONE TWO SEVEN DISNAL THREE SEVEN
~k ~l ~m two six four rhein identified ,011_0060,"{'array': array([ 0.0002716 ,  0.0027437 , -0.01298509, ..., -0.00100759,
       -0.0077956 ,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_060.wav', 'sampling_rate': 16000}",NCALM TWO SIX FOUR RYON IDENTIFIED
sobelair two five five seven maintain heading contact rhein one three two decimal four ,011_0061,"{'array': array([-0.00577373, -0.0090922 , -0.01258747, ..., -0.00379246,
        0.00291995, -0.00834717], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_061.wav', 'sampling_rate': 16000}",SOBLA TWO FIVE FIVE SEVEN MAINTAIN HEADING CONTECT LINE ONE TREE TWO DESMAL FOUR
olympic one four four contact rhein one three two decimal four ,011_0062,"{'array': array([-0.01004476, -0.00587341, -0.00848861, ...,  0.00034424,
       -0.00027598, -0.00158672], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_062.wav', 'sampling_rate': 16000}",OLYMPIC ONE FOUR FOR CONTECTINE ONE THREE TWO DESMAL FOUR
sabena seven eight one six rhein radar identified ,011_0063,"{'array': array([-0.01045873, -0.01717227, -0.00567436, ...,  0.00016728,
       -0.00091593,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_063.wav', 'sampling_rate': 16000}",SAPINA SEVEN EIGHT ONE SIX RINE RATA IDENTIFIED
jet set one four two nine rhein identified ,011_0064,"{'array': array([-0.00818022, -0.00319379,  0.00062722, ..., -0.00488368,
       -0.00895889,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_064.wav', 'sampling_rate': 16000}",CIT SAD ONE FOUR TWO NINE A RINE IDENTIFY IT
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,011_0065,"{'array': array([-0.00371396, -0.00944477,  0.00083324, ...,  0.00087434,
       -0.00064758,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_065.wav', 'sampling_rate': 16000}",AIROLOID FIVE NINE SERO LINE RADA IDENTIFI IT CLIMB FLIGHT LEVEL TWO NINEO ZERO
aero lloyd five nine zero direct trasadingen ,011_0066,"{'array': array([-0.00234227, -0.00094457, -0.00347985, ..., -0.01081534,
       -0.00652656, -0.00482492], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_066.wav', 'sampling_rate': 16000}",YEA VEA ARD FIVE NINE SLD I LIKE TONSETING AND
sabena eight three two rhein confirm your level ,011_0067,"{'array': array([-0.01542067, -0.01203944, -0.00488171, ..., -0.00026867,
       -0.00081944, -0.00076352], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_067.wav', 'sampling_rate': 16000}",SAPENA EIGHT TE TO RYAN CONFERM YOUR LEVEL
roger identified ,011_0068,"{'array': array([-0.00384941, -0.01022062, -0.01096112, ..., -0.00115979,
        0.00125992, -0.0016471 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_068.wav', 'sampling_rate': 16000}",RODCHA IDENTIFY IT
alitalia one one nine rhein identified ,011_0069,"{'array': array([-0.0061267 , -0.01401607, -0.0065072 , ...,  0.00067515,
       -0.00904388,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_069.wav', 'sampling_rate': 16000}",ALITALIA VONE ONE INA RION IDENTIFY IT
~k ~l ~m three hundred kilo contact rhein one two seven three seven ,011_0070,"{'array': array([-0.00762296, -0.01644576, -0.00652429, ...,  0.00224278,
        0.00111942,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_070.wav', 'sampling_rate': 16000}",CALIM THREE HUNDRED KILO CONTEKINE ONE TWO SEVEN THREE SEVEN
transwede one zero seven contact zurich one three four decimal six ,011_0071,"{'array': array([-0.01120833, -0.01365299, -0.00796765, ..., -0.00909176,
       -0.00398464,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_071.wav', 'sampling_rate': 16000}",TRANSPEED ONE SERO SEVEN CONTECCIRI ONE THREE FOLD ESIMAL SIX
alitalia one one seven zurich one three three decimal four ,011_0072,"{'array': array([-0.00363604, -0.00792008, -0.00413158, ...,  0.00151984,
       -0.00801102,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_072.wav', 'sampling_rate': 16000}",ADITALIA ONE ONE SEVEN SIISH ONE THREE TREE DESMA FOUR
alitalia four eight five rhein identified ,011_0073,"{'array': array([ 0.00374211,  0.01535619,  0.01115746, ..., -0.00164517,
       -0.00487671, -0.00116518], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_073.wav', 'sampling_rate': 16000}",AITALIA FOUR EIGHT FIVE FOR IN IDENTIFIED
viva five eight five request heading ,011_0074,"{'array': array([-0.00202401, -0.00806632, -0.00815264, ...,  0.00084061,
       -0.00023388,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_074.wav', 'sampling_rate': 16000}",V  FIVEEIGHT FIVE FLICK VEST HEADDING
roger right turn heading zero three zero ,011_0075,"{'array': array([-0.00997075, -0.00845463, -0.00342119, ..., -0.00652766,
       -0.00605789,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_075.wav', 'sampling_rate': 16000}",WHAT TO WRITE ON HEADING CELA TLISI
lufthansa four six five two rhein radar identified climb flight level two nine zero set course trasadingen ,011_0076,"{'array': array([-0.01280618,  0.00138297, -0.00601844, ...,  0.00234515,
       -0.00399119, -0.00776254], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_076.wav', 'sampling_rate': 16000}",LOF TEN A FALL SIX FIVE TWO RION RATA IDENTIFY FLYIN FLAD LEVEL TWO NINEO SEROSAT COST COSETING AND
delta india charlie papa alfa rhein radar identified ,011_0077,"{'array': array([-0.00133898, -0.00844247, -0.0071442 , ..., -0.00100265,
       -0.00035009, -0.00525124], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_077.wav', 'sampling_rate': 16000}",THAT UH INDIA CHARLY PEPPA FOIN RAITA IDENTIFY ED
