transcription,recording_id,audio
sobelair two five five seven rhein identified ,011_0043,atcosim/WAVdata/sm1/sm1_01/sm1_01_043.wav
~k ~l ~m three hundred kilo rhein identified ,011_0044,atcosim/WAVdata/sm1/sm1_01/sm1_01_044.wav
station calling say again ,011_0045,atcosim/WAVdata/sm1/sm1_01/sm1_01_045.wav
transwede one zero seven rhein identified ,011_0046,atcosim/WAVdata/sm1/sm1_01/sm1_01_046.wav
india sierra alfa contact rhein one two seven three seven ,011_0047,atcosim/WAVdata/sm1/sm1_01/sm1_01_047.wav
alitalia one one seven rhein identified olympic one four four request your heading ,011_0048,atcosim/WAVdata/sm1/sm1_01/sm1_01_048.wav
olympic one four four turn left heading one one five for separation ,011_0049,atcosim/WAVdata/sm1/sm1_01/sm1_01_049.wav
jet set eight one seven rhein identified ,011_0050,atcosim/WAVdata/sm1/sm1_01/sm1_01_050.wav
constellation two two five one contact rhein one three two decimal four ,011_0051,atcosim/WAVdata/sm1/sm1_01/sm1_01_051.wav
air malta zero zero four rhein radar identified ,011_0052,atcosim/WAVdata/sm1/sm1_01/sm1_01_052.wav
olympic one four four set course direct to tango ,011_0053,atcosim/WAVdata/sm1/sm1_01/sm1_01_053.wav
sobelair two five five seven request heading ,011_0054,atcosim/WAVdata/sm1/sm1_01/sm1_01_054.wav
sobelair two five five seven turn left heading one one zero separation ,011_0055,atcosim/WAVdata/sm1/sm1_01/sm1_01_055.wav
georgia zero three seven contact rhein one two seven three seven ,011_0056,atcosim/WAVdata/sm1/sm1_01/sm1_01_056.wav
viva five eight five rhein radar identified ,011_0057,atcosim/WAVdata/sm1/sm1_01/sm1_01_057.wav
air malta zero zero four for separation descend flight level three one zero ,011_0058,atcosim/WAVdata/sm1/sm1_01/sm1_01_058.wav
jet set eight one seven contact rhein one two seven decimal three seven ,011_0059,atcosim/WAVdata/sm1/sm1_01/sm1_01_059.wav
~k ~l ~m two six four rhein identified ,011_0060,atcosim/WAVdata/sm1/sm1_01/sm1_01_060.wav
sobelair two five five seven maintain heading contact rhein one three two decimal four ,011_0061,atcosim/WAVdata/sm1/sm1_01/sm1_01_061.wav
olympic one four four contact rhein one three two decimal four ,011_0062,atcosim/WAVdata/sm1/sm1_01/sm1_01_062.wav
sabena seven eight one six rhein radar identified ,011_0063,atcosim/WAVdata/sm1/sm1_01/sm1_01_063.wav
jet set one four two nine rhein identified ,011_0064,atcosim/WAVdata/sm1/sm1_01/sm1_01_064.wav
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,011_0065,atcosim/WAVdata/sm1/sm1_01/sm1_01_065.wav
aero lloyd five nine zero direct trasadingen ,011_0066,atcosim/WAVdata/sm1/sm1_01/sm1_01_066.wav
sabena eight three two rhein confirm your level ,011_0067,atcosim/WAVdata/sm1/sm1_01/sm1_01_067.wav
roger identified ,011_0068,atcosim/WAVdata/sm1/sm1_01/sm1_01_068.wav
alitalia one one nine rhein identified ,011_0069,atcosim/WAVdata/sm1/sm1_01/sm1_01_069.wav
~k ~l ~m three hundred kilo contact rhein one two seven three seven ,011_0070,atcosim/WAVdata/sm1/sm1_01/sm1_01_070.wav
transwede one zero seven contact zurich one three four decimal six ,011_0071,atcosim/WAVdata/sm1/sm1_01/sm1_01_071.wav
alitalia one one seven zurich one three three decimal four ,011_0072,atcosim/WAVdata/sm1/sm1_01/sm1_01_072.wav
alitalia four eight five rhein identified ,011_0073,atcosim/WAVdata/sm1/sm1_01/sm1_01_073.wav
viva five eight five request heading ,011_0074,atcosim/WAVdata/sm1/sm1_01/sm1_01_074.wav
roger right turn heading zero three zero ,011_0075,atcosim/WAVdata/sm1/sm1_01/sm1_01_075.wav
lufthansa four six five two rhein radar identified climb flight level two nine zero set course trasadingen ,011_0076,atcosim/WAVdata/sm1/sm1_01/sm1_01_076.wav
delta india charlie papa alfa rhein radar identified ,011_0077,atcosim/WAVdata/sm1/sm1_01/sm1_01_077.wav
~p ~s ~a five two six hotel rhein radar identified ,011_0078,atcosim/WAVdata/sm1/sm1_01/sm1_01_078.wav
viva five eight five turn left to frankfurt ,011_0079,atcosim/WAVdata/sm1/sm1_01/sm1_01_079.wav
jet set one four two nine contact rhein one two seven decimal three seven ,011_0080,atcosim/WAVdata/sm1/sm1_01/sm1_01_080.wav
air malta zero zero four rhein radar one two seven three seven ,011_0081,atcosim/WAVdata/sm1/sm1_01/sm1_01_081.wav
alitalia four zero one ah rhein identified climb flight level two seven zero ,011_0082,atcosim/WAVdata/sm1/sm1_01/sm1_01_082.wav
sabena eight three two contact rhein one two seven three seven ,011_0083,atcosim/WAVdata/sm1/sm1_01/sm1_01_083.wav
sabena seven eight one six turn left to gotil ,011_0084,atcosim/WAVdata/sm1/sm1_01/sm1_01_084.wav
viva five eight five contact rhein one two seven decimal three seven ,011_0085,atcosim/WAVdata/sm1/sm1_01/sm1_01_085.wav
hapag lloyd three five five one rhein identified ,011_0086,atcosim/WAVdata/sm1/sm1_01/sm1_01_086.wav
britannia triple two alfa rhein identified <OT> <FL> </FL> </OT> ,011_0087,atcosim/WAVdata/sm1/sm1_01/sm1_01_087.wav
aero lloyd five nine zero contact zurich one three four decimal six ,011_0088,atcosim/WAVdata/sm1/sm1_01/sm1_01_088.wav
britannia triple two alfa proceed direct to kempten ,011_0089,atcosim/WAVdata/sm1/sm1_01/sm1_01_089.wav
~k ~l ~m two six four contact rhein one two seven three seven ,011_0090,atcosim/WAVdata/sm1/sm1_01/sm1_01_090.wav
sabena seven eight one six rhein one two seven three seven ,011_0091,atcosim/WAVdata/sm1/sm1_01/sm1_01_091.wav
belstar five zero two hotel rhein identified ,011_0092,atcosim/WAVdata/sm1/sm1_01/sm1_01_092.wav
gulf air zero zero seven rhein identified ,011_0093,atcosim/WAVdata/sm1/sm1_01/sm1_01_093.wav
lufthansa four six five two zurich radar one three four decimal six ,011_0094,atcosim/WAVdata/sm1/sm1_01/sm1_01_094.wav
lufthansa four four one six rhein identified stand by for higher turn ah left by one five degrees ,011_0095,atcosim/WAVdata/sm1/sm1_01/sm1_01_095.wav
alitalia four zero one climb flight level two nine zero ,011_0096,atcosim/WAVdata/sm1/sm1_01/sm1_01_096.wav
lufthansa four four one six climb flight level two nine zero ,011_0097,atcosim/WAVdata/sm1/sm1_01/sm1_01_097.wav
alitalia station co= ah alitalia four eight seven i got it you're identified ,011_0098,atcosim/WAVdata/sm1/sm1_01/sm1_01_098.wav
speedbird one two four rhein identified ,011_0099,atcosim/WAVdata/sm1/sm1_01/sm1_01_099.wav
delta india mike lima lima rhein radar identified ,011_0100,atcosim/WAVdata/sm1/sm1_01/sm1_01_100.wav
~p ~s ~a five two six hotel contact rhein one ah three two decimal four ,011_0101,atcosim/WAVdata/sm1/sm1_01/sm1_01_101.wav
lufthansa four four one six right turn to trasadingen ,011_0102,atcosim/WAVdata/sm1/sm1_01/sm1_01_102.wav
alitalia one one nine zurich one three four decimal six ,011_0103,atcosim/WAVdata/sm1/sm1_01/sm1_01_103.wav
alitalia four eight five zurich one three three decimal four ,011_0104,atcosim/WAVdata/sm1/sm1_01/sm1_01_104.wav
netherlands air force three four identified ,011_0105,atcosim/WAVdata/sm1/sm1_01/sm1_01_105.wav
three five sorry ,011_0106,atcosim/WAVdata/sm1/sm1_01/sm1_01_106.wav
oscar oscar papa hotel india rhein radar identified ,011_0107,atcosim/WAVdata/sm1/sm1_01/sm1_01_107.wav
turkish five one five rhein identified ,011_0108,atcosim/WAVdata/sm1/sm1_01/sm1_01_108.wav
alitalia four zero one contact zurich one three four decimal six ,011_0109,atcosim/WAVdata/sm1/sm1_01/sm1_01_109.wav
gulf air zero zero seven contact rhein one two seven decimal three seven ,011_0110,atcosim/WAVdata/sm1/sm1_01/sm1_01_110.wav
europa three six three rhein radar identified proceed direct to frankfurt ,011_0111,atcosim/WAVdata/sm1/sm1_01/sm1_01_111.wav
britannia two two two alfa contact rhein one three two decimal four ,011_0112,atcosim/WAVdata/sm1/sm1_01/sm1_01_112.wav
speedbird one two four contact rhein one two seven three seven good bye ,011_0113,atcosim/WAVdata/sm1/sm1_01/sm1_01_113.wav
turkish five one five contact rhein one two seven three seven ,011_0114,atcosim/WAVdata/sm1/sm1_01/sm1_01_114.wav
lufthansa four four one six contact zurich one three four decimal six ,011_0115,atcosim/WAVdata/sm1/sm1_01/sm1_01_115.wav
lufthansa three five five six rhein radar identified turn left by ten degrees and climb flight level two six zero ,011_0116,atcosim/WAVdata/sm1/sm1_01/sm1_01_116.wav
midland seven two zero rhein radar identified ,011_0117,atcosim/WAVdata/sm1/sm1_01/sm1_01_117.wav
station calling say again ,011_0118,atcosim/WAVdata/sm1/sm1_01/sm1_01_118.wav
sabena nine three ah six nine rhein identified ,011_0119,atcosim/WAVdata/sm1/sm1_01/sm1_01_119.wav
hapag lloyd three five five one contact zurich one three three decimal four ,011_0120,atcosim/WAVdata/sm1/sm1_01/sm1_01_120.wav
lufthansa three five five six climb flight level two nine zero ,011_0121,atcosim/WAVdata/sm1/sm1_01/sm1_01_121.wav
alitalia two nine two rhein identified ,011_0122,atcosim/WAVdata/sm1/sm1_01/sm1_01_122.wav
lufthansa three five five six set course to trasadingen ,011_0123,atcosim/WAVdata/sm1/sm1_01/sm1_01_123.wav
~p ~s ~a five zero two hotel contact rhein one two three decimal four ,011_0124,atcosim/WAVdata/sm1/sm1_01/sm1_01_124.wav
speedbird one two two guten tag identified ,011_0125,atcosim/WAVdata/sm1/sm1_01/sm1_01_125.wav
alitalia four eight seven contact zurich one three four decimal six ,011_0126,atcosim/WAVdata/sm1/sm1_01/sm1_01_126.wav
alitalia one four nine rhein identified ,011_0127,atcosim/WAVdata/sm1/sm1_01/sm1_01_127.wav
midland seven two zero turn right by one five degrees ,011_0128,atcosim/WAVdata/sm1/sm1_01/sm1_01_128.wav
delta india charlie papa alfa contact zurich one three four decimal six ,011_0129,atcosim/WAVdata/sm1/sm1_01/sm1_01_129.wav
britannia two three six alfa rhein radar identified ,011_0130,atcosim/WAVdata/sm1/sm1_01/sm1_01_130.wav
oscar oscar papa hotel india contact rhein one three two decimal four ,011_0131,atcosim/WAVdata/sm1/sm1_01/sm1_01_131.wav
midland seven two zero climb flight level three five zero ,011_0132,atcosim/WAVdata/sm1/sm1_01/sm1_01_132.wav
sabena eight zero one rhein identified ,011_0133,atcosim/WAVdata/sm1/sm1_01/sm1_01_133.wav
alitalia one five seven rhein identified ,011_0134,atcosim/WAVdata/sm1/sm1_01/sm1_01_134.wav
netherlands air force three five contact rhein one three two decimal four ,011_0135,atcosim/WAVdata/sm1/sm1_01/sm1_01_135.wav
midland seven two zero set course to costa ,011_0136,atcosim/WAVdata/sm1/sm1_01/sm1_01_136.wav
charlie oscar alfa ,011_0137,atcosim/WAVdata/sm1/sm1_01/sm1_01_137.wav
okay so make it november tango mike ,011_0138,atcosim/WAVdata/sm1/sm1_01/sm1_01_138.wav
midland seven two zero contact rhein one two seven three seven ,011_0139,atcosim/WAVdata/sm1/sm1_01/sm1_01_139.wav
lufthansa three five five six contact zurich one three four decimal six ,011_0140,atcosim/WAVdata/sm1/sm1_01/sm1_01_140.wav
sabena nine three six nine right turn to trasadingen ,011_0141,atcosim/WAVdata/sm1/sm1_01/sm1_01_141.wav
lufthansa three six three eight rhein radar identified climb flight level two seven zero ,011_0142,atcosim/WAVdata/sm1/sm1_01/sm1_01_142.wav
alitalia two nine two turn left to gotil ,011_0143,atcosim/WAVdata/sm1/sm1_01/sm1_01_143.wav
europa three six three contact rhein one two seven decimal three seven ,011_0144,atcosim/WAVdata/sm1/sm1_01/sm1_01_144.wav
speedbird one two two contact rhein one two seven decimal three seven ,011_0145,atcosim/WAVdata/sm1/sm1_01/sm1_01_145.wav
jet set four nine seven rhein radar identified ,011_0146,atcosim/WAVdata/sm1/sm1_01/sm1_01_146.wav
sabena nine three six nine turn right direct to foxtrot romeo india ,011_0147,atcosim/WAVdata/sm1/sm1_01/sm1_01_147.wav
delta india mike lima lima contact zurich one three four decimal six ,011_0148,atcosim/WAVdata/sm1/sm1_01/sm1_01_148.wav
condor two one eight rhein radar identified ,011_0149,atcosim/WAVdata/sm1/sm1_01/sm1_01_149.wav
alitalia four one three rhein identified climb flight level two five zero set course trasadingen ,011_0150,atcosim/WAVdata/sm1/sm1_01/sm1_01_150.wav
alitalia four six five rhein radar identified ,011_0151,atcosim/WAVdata/sm1/sm1_01/sm1_01_151.wav
swissair seven eight three romeo rhein identified ,011_0152,atcosim/WAVdata/sm1/sm1_01/sm1_01_152.wav
alitalia two nine two contact rhein one two seven decimal three seven ,011_0153,atcosim/WAVdata/sm1/sm1_01/sm1_01_153.wav
[EMPTY] ,011_0154,atcosim/WAVdata/sm1/sm1_01/sm1_01_154.wav
hapag lloyd one three seven rhein radar identified ,011_0155,atcosim/WAVdata/sm1/sm1_01/sm1_01_155.wav
speedbird three eight nine rhein identified ,011_0156,atcosim/WAVdata/sm1/sm1_01/sm1_01_156.wav
sabena nine three six nine contact zurich one three four decimal six ,011_0157,atcosim/WAVdata/sm1/sm1_01/sm1_01_157.wav
britannia two three six alfa zurich one three three decimal four ,011_0158,atcosim/WAVdata/sm1/sm1_01/sm1_01_158.wav
alitalia one four nine zurich one three four decimal six ,011_0159,atcosim/WAVdata/sm1/sm1_01/sm1_01_159.wav
lufthansa three six three eight climb flight level three three zero ,011_0160,atcosim/WAVdata/sm1/sm1_01/sm1_01_160.wav
speedbird three eight nine climb flight level three one zero ,011_0161,atcosim/WAVdata/sm1/sm1_01/sm1_01_161.wav
thank you ,011_0162,atcosim/WAVdata/sm1/sm1_01/sm1_01_162.wav
[FRAGMENT] ,011_0163,atcosim/WAVdata/sm1/sm1_01/sm1_01_163.wav
<OT> that's okay </OT> ,011_0164,atcosim/WAVdata/sm2/sm2_01/sm2_01_001.wav
europa seven four four is identified ,011_0165,atcosim/WAVdata/sm2/sm2_01/sm2_01_002.wav
britannia zero nine six alfa is identified ,011_0166,atcosim/WAVdata/sm2/sm2_01/sm2_01_003.wav
lufthansa four three nine zero identified climb flight level two seven two nine zero ,011_0167,atcosim/WAVdata/sm2/sm2_01/sm2_01_004.wav
is balkan four nine six still with me ,011_0168,atcosim/WAVdata/sm2/sm2_01/sm2_01_005.wav
europa seven four four contact now zurich ahm one three four decimal six good bye ,011_0169,atcosim/WAVdata/sm2/sm2_01/sm2_01_006.wav
britannia zero nine six alfa turn right direct to trasadingen ,011_0170,atcosim/WAVdata/sm2/sm2_01/sm2_01_007.wav
~l ~t ~u one two eight zero is identified you're cleared direct to trasadingen climb flight level two nine zero ,011_0171,atcosim/WAVdata/sm2/sm2_01/sm2_01_008.wav
lufthansa four three nine zero continue climb to flight level three one zero ,011_0172,atcosim/WAVdata/sm2/sm2_01/sm2_01_009.wav
ah speedway two zero eight confirm you position still north of frankfurt ,011_0173,atcosim/WAVdata/sm2/sm2_01/sm2_01_010.wav
ah speedway two zero eight is identified however contact rhein one three two decimal four ,011_0174,atcosim/WAVdata/sm2/sm2_01/sm2_01_011.wav
lufthansa four three nine zero expedite your climb please ,011_0175,atcosim/WAVdata/sm2/sm2_01/sm2_01_012.wav
delta india hotel echo bravo is identified climb flight level two seven zero ,011_0176,atcosim/WAVdata/sm2/sm2_01/sm2_01_013.wav
emirates two is identified ,011_0177,atcosim/WAVdata/sm2/sm2_01/sm2_01_014.wav
lufthansa four three nine zero continue climb now to flight level three three zero and still expeditious climb please ,011_0178,atcosim/WAVdata/sm2/sm2_01/sm2_01_015.wav
affirm lufthansa four three nine zero contact zurich one three four decimal six ,011_0179,atcosim/WAVdata/sm2/sm2_01/sm2_01_016.wav
delta echo bravo report your heading ,011_0180,atcosim/WAVdata/sm2/sm2_01/sm2_01_017.wav
delta echo bravo turn left heading one seven zero ,011_0181,atcosim/WAVdata/sm2/sm2_01/sm2_01_018.wav
britannia zero nine six alfa contact zurich one three three decimal four ,011_0182,atcosim/WAVdata/sm2/sm2_01/sm2_01_019.wav
~l ~t ~u one two eight zero report your heading ,011_0183,atcosim/WAVdata/sm2/sm2_01/sm2_01_020.wav
~l ~t ~u one two eight zero turn right heading two hundred ,011_0184,atcosim/WAVdata/sm2/sm2_01/sm2_01_021.wav
~l ~t ~u one two eight zero i just received approval you're cleared from present position to hochwald which is hotel oscar charlie afterwards st prex flight planned route ,011_0185,atcosim/WAVdata/sm2/sm2_01/sm2_01_022.wav
delta echo bravo proceed own navigation to trasadingen ,011_0186,atcosim/WAVdata/sm2/sm2_01/sm2_01_023.wav
emirates two contact rhein one three two decimal four good bye ,011_0187,atcosim/WAVdata/sm2/sm2_01/sm2_01_024.wav
sobelair two five two one is identified i'll call you back ,011_0188,atcosim/WAVdata/sm2/sm2_01/sm2_01_025.wav
airals one zero eight eight is identified you're cleared direct to fox fox mike ,011_0189,atcosim/WAVdata/sm2/sm2_01/sm2_01_026.wav
delta echo bravo continue climb to flight level two eight zero ,011_0190,atcosim/WAVdata/sm2/sm2_01/sm2_01_027.wav
~l ~t ~u one two eight zero contact now zurich one three four decimal six you may expect higher ,011_0191,atcosim/WAVdata/sm2/sm2_01/sm2_01_028.wav
affirm ,011_0192,atcosim/WAVdata/sm2/sm2_01/sm2_01_029.wav
good bye ,011_0193,atcosim/WAVdata/sm2/sm2_01/sm2_01_030.wav
lufthansa four four zero eight is identified proceed direct to tango romeo alfa climb to flight level two seven zero ,011_0194,atcosim/WAVdata/sm2/sm2_01/sm2_01_031.wav
sobelair two five two one climb flight level three three zero ,011_0195,atcosim/WAVdata/sm2/sm2_01/sm2_01_032.wav
delta echo bravo continue climb to flight level two nine zero ,011_0196,atcosim/WAVdata/sm2/sm2_01/sm2_01_033.wav
lufthansa four four zero eight continue climb to flight level two nine zero ,011_0197,atcosim/WAVdata/sm2/sm2_01/sm2_01_034.wav
delta echo bravo turn right to hotel oscar charlie afterwards st prex flight planned route ,011_0198,atcosim/WAVdata/sm2/sm2_01/sm2_01_035.wav
that is correct delta echo bravo contact zurich one three four decimal six good bye ,011_0199,atcosim/WAVdata/sm2/sm2_01/sm2_01_036.wav
good afternoon air berlin five two five five identified you're cleared direct to frankfurt ,011_0200,atcosim/WAVdata/sm2/sm2_01/sm2_01_037.wav
sobelair two five two one contact rhein radar one three two decimal four ,011_0201,atcosim/WAVdata/sm2/sm2_01/sm2_01_038.wav
bye ,011_0202,atcosim/WAVdata/sm2/sm2_01/sm2_01_039.wav
good afternoon tarom three seven two identified ,011_0203,atcosim/WAVdata/sm2/sm2_01/sm2_01_040.wav
swissair eight zero six is identified continue climb to flight level three one zero ,011_0204,atcosim/WAVdata/sm2/sm2_01/sm2_01_041.wav
swissair nine three six zero is identified expect higher in five minutes i'll call you back ,011_0205,atcosim/WAVdata/sm2/sm2_01/sm2_01_042.wav
lufthansa four four zero eight contact zurich one three four decimal six ,011_0206,atcosim/WAVdata/sm2/sm2_01/sm2_01_043.wav
swissair nine three six zero proceed from present position direct to gotil ,011_0207,atcosim/WAVdata/sm2/sm2_01/sm2_01_044.wav
affirm to gotil intersection ,011_0208,atcosim/WAVdata/sm2/sm2_01/sm2_01_045.wav
and swissair eight zero six you're cleared from present position to costa which is charlie oscar alfa ,011_0209,atcosim/WAVdata/sm2/sm2_01/sm2_01_046.wav
no problem ,011_0210,atcosim/WAVdata/sm2/sm2_01/sm2_01_047.wav
lufthansa three five six six is identified you're cleared direct to trasadingen to continue climb flight level two seven zero ,011_0211,atcosim/WAVdata/sm2/sm2_01/sm2_01_048.wav
hapag lloyd one one two good afternoon you're identified you're cleared direct to frankfurt ,011_0212,atcosim/WAVdata/sm2/sm2_01/sm2_01_049.wav
good afternoon sabena eight three zero identified you may proceed direct to gotil ,011_0213,atcosim/WAVdata/sm2/sm2_01/sm2_01_050.wav
lufthansa three six zero four is identified climb to flight level two nine zero ,011_0214,atcosim/WAVdata/sm2/sm2_01/sm2_01_051.wav
lufthansa three five six six continue climb to flight level two nine zero ,011_0215,atcosim/WAVdata/sm2/sm2_01/sm2_01_052.wav
ah swissair eight zero six climb now to flight level three five zero ,011_0216,atcosim/WAVdata/sm2/sm2_01/sm2_01_053.wav
tarom three seven two continue with rhein one three two decimal four ,011_0217,atcosim/WAVdata/sm2/sm2_01/sm2_01_054.wav
airals one zero eight eight contact rhein radar one two seven decimal three seven ,011_0218,atcosim/WAVdata/sm2/sm2_01/sm2_01_055.wav
lufthansa three six zero four you're cleared now direct to trasadingen ,011_0219,atcosim/WAVdata/sm2/sm2_01/sm2_01_056.wav
swissair eight zero six report your rate of climb ,011_0220,atcosim/WAVdata/sm2/sm2_01/sm2_01_057.wav
thank you ,011_0221,atcosim/WAVdata/sm2/sm2_01/sm2_01_058.wav
swissair nine three six zero climb flight level two nine zero ,011_0222,atcosim/WAVdata/sm2/sm2_01/sm2_01_059.wav
air berlin five two five five contact rhein radar one twenty seven thirty seven ,011_0223,atcosim/WAVdata/sm2/sm2_01/sm2_01_060.wav
alitalia six four seven four is identified ,011_0224,atcosim/WAVdata/sm2/sm2_01/sm2_01_061.wav
swissair nine three six zero continue climb flight level three one zero ,011_0225,atcosim/WAVdata/sm2/sm2_01/sm2_01_062.wav
swissair eight zero six maintain rate of climb one thousand four hundred feet per minute or more continue with rhein one twenty seven thirty seven ,011_0226,atcosim/WAVdata/sm2/sm2_01/sm2_01_063.wav
swissair nine three six zero contact rhein one two seven decimal three seven good bye ,011_0227,atcosim/WAVdata/sm2/sm2_01/sm2_01_064.wav
lufthansa four seven zero zero good afternoon climb flight level two seven zero initially ,011_0228,atcosim/WAVdata/sm2/sm2_01/sm2_01_065.wav
britannia three two seven alfa is identified ,011_0229,atcosim/WAVdata/sm2/sm2_01/sm2_01_066.wav
speedbird one two nine is identified ,011_0230,atcosim/WAVdata/sm2/sm2_01/sm2_01_067.wav
britannia three two seven alfa turn right to kempten ,011_0231,atcosim/WAVdata/sm2/sm2_01/sm2_01_068.wav
lufthansa four seven zero zero turn right direct to trasadingen continue climb to flight level two nine zero ,011_0232,atcosim/WAVdata/sm2/sm2_01/sm2_01_069.wav
good afternoon lufthansa five two three six identified ,011_0233,atcosim/WAVdata/sm2/sm2_01/sm2_01_070.wav
lufthansa three five six six contact zurich one three four decimal six ,011_0234,atcosim/WAVdata/sm2/sm2_01/sm2_01_071.wav
sabena eight three zero contact rhein radar one two seven decimal three seven ,011_0235,atcosim/WAVdata/sm2/sm2_01/sm2_01_072.wav
lufthansa four two zero seven is in radar contact good afternoon ,011_0236,atcosim/WAVdata/sm2/sm2_01/sm2_01_073.wav
britannia three two seven alfa continue now with rhein one three two decimal four ,011_0237,atcosim/WAVdata/sm2/sm2_01/sm2_01_074.wav
lufthansa five two three six continue now with rhein one two seven decimal three seven good bye ,011_0238,atcosim/WAVdata/sm2/sm2_01/sm2_01_075.wav
golf bravo victor juliett india good afternoon identified ,011_0239,atcosim/WAVdata/sm2/sm2_01/sm2_01_076.wav
lufthansa three six zero four contact zurich one three four decimal six ,011_0240,atcosim/WAVdata/sm2/sm2_01/sm2_01_077.wav
