transcription,recording_id,labels,model_transcription
swissair nine three five two climb flight level three five zero set course to gotil ,011_0011,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 4]",SPICEA NINE A THREE FIVE TUCLIME FLIGHT LEVEL THREE FIVE SEROS AT CONSE TO CORTILLE
lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero ,011_0012,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",LOUTONZA EIGHT TWO SIX EIGHT RHINE IDENTIFIED SAID COSTRASETTING IN CLIMEFLAD LEVEL TO SEVEN ZEL
sabena eight three eight rhein identified direct to gotil ,011_0013,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",SEVEN EIGHTY EIGHT RINAT IN DIFI DIREC TO GOTILE
speedbird one five six contact rhein one two seven three seven ,011_0014,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",BE BAT ONE FIVE SIX CONTICTRINE ONE TWO SEVEN THREE SEVEN
foxtrot sierra india rhein identified climb flight level two six zero ,011_0015,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4]",FOXOZIERA INDIA RINAD AND DEFIENT CLIMEFLIHT LEVEL TO SIXYRO
transwede one zero one proceed direct to hochwald thereafter st prex ,011_0016,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",TRANSWIT ONCE SE ROBAN PROSSY DIRECT TO HOKWAUT SA AFTER SOMBRY
foxtrot sierra india report heading ,011_0017,[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4],FOCSCOTIERA INDIA REPONTHEADING
roger turn left heading one eight five ,011_0018,"[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 4]",OR TO TURN LEFT HEADING ONE EIGHT FIVE
india tango alfa sierra alfa rhein identified ,011_0019,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",IN DIA TENGO ALFA SIERA A FA RINE IDENTIFIED
sabena four eight one contact rhein one three two decimal four ,011_0020,"[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",SABINA POD ONE CONTECTRINE ONE THREE TWO DESMAL FOUR
india sierra alfa turn one five degrees to the left ,011_0021,"[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 4 3 3 3 4 3 3 3 3 4]",IN THE ASIERA ALFA TURN ONE FIVE DEGREES TO THE LEFT
hapag lloyd six five three rhein identified climb flight level two seven zero ,011_0022,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 4]",I BUK LO AT SIX FIVE THREE RHYNAD AND DEFIND PLANP FLAD LEVELL TO SEVEN SYVON
swissair nine three five two rhein one two seven decimal three seven ,011_0023,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",SREE SENINE TREE FIVE TWO RINE ONE TWO SEVEN DESMUTR SEVEN
lufthansa eight two six eight climb flight level two nine zero ,011_0024,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",LUF TANSA EIGHT TWO SIX EIGHT GLAMFLAT LEVEL TWO NINE ON CYRO
foxtrot sierra india climb flight level two seven zero ,011_0025,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",FOCS COTZIERA INDIA CLIME FLIGHT LEVEL TOO SEVEN SIVO
hapag lloyd six five three climb flight level two nine zero set course trasadingen ,011_0026,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 3 4]",HAPAKLOID SIX FIVE THREE GLAMFLIGHT LEVEL TWO NIN OSILS AT CONSTRASADINGEN
malaysian two rhein identified ,011_0027,[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],ALLEGION TWO RHINAD AND DEFINED
foxtrot sierra india turn left heading one seven five climb flight level three seven zero ,011_0028,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",FOX TORZIERA INDIA TURN LEFT HADDING ONE AS SEVEN FIVE CLIMB FLIGHT LEVL TREE SEVEN CYRO
india sierra alfa turn right to frankfurt ,011_0029,"[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 3 3 3 4]",INDIASIERA ILFAR TURN RIGHT TO FRONGFOOT
sabena eight three eight contact rhein one two seven three seven ,011_0030,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",SEPINA EIGHTTRY EIGHT CONTNINE ONE TWO SEVEN THREE SEVEN
swissair six five two zero rhein do you read ,011_0031,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3
 3 3 4 3 3 3 3 4]",SPICA A SIX FIVE TO A CIVEL RINE DO YOU LEAD
lufthansa eight two six eight contact zurich one three four decimal six ,011_0032,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LUFTANS A EIGHT TWO SIX EIGHT CONTEXILI ON TRI FOUR DESIMAL SIX
constellation two two five one rhein identified ,011_0033,"[3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 3 3 3 4]",CONSOLATION TO TWO FIVE FON RHINE I DENTIFIED
transwede one zero one contact zurich one three three decimal four ,011_0034,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3
 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",GRANSVID ONE SI ROBON CONTEXILISH ONE TRETREDESMALFORT
foxtrot sierra india set course to trasadingen ,011_0035,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 4]",FOLKS WHATS YER BY INDIA SAID CARS TO TRARSATINGIN
foxtrot sierra india report rate of climb ,011_0036,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 4 3
 3 3 3 3 4]",FOLKS HOGT SIERA INDIA REPOTRADE OFF CLIME
roger keep this rate until reaching ,011_0037,[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4],ARCHER KEEP THIS RIGHT UNTIL REACHING
swissair six five two zero rhein radar do you read ,011_0038,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 4 3 3 3 4 3 3 3 3 4]",SMIHS ER SIX FIVE TU SIROVINE RATAR DO YOU READ
foxtrot sierra india contact zurich one three three decimal four ,011_0039,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",FOCSTO TIARINDIA CONTECT SILVIQUONTRETREAT AS MAFORM
olympic one four four rhein identified ,011_0040,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",OR LIMPIC ONE FALLFALL RHINE IDENTIFIED
malaysian two contact rhein one two seven three seven ,011_0041,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",MALATION TWO CONTICNINE ONE TWO SEVEN THREE SEVEN
georgia air rhein radar identified ,011_0042,[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],CHARTIA ER RHINE REDA IDENTIFIED
sobelair two five five seven rhein identified ,011_0043,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",SOBLY A TWO FIVE FIVE SEVEN RHINIDE AN DEFIED
k l m three hundred kilo rhein identified ,011_0044,"[3 4 3 4 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",CALEMTREE HUNTRED KILORHINE I DENTIFIED HAPAKLOIT SIX FIVE TREETS TO RETRATE A WONE TRE FOURDESIMAL SIX TETIOGAMANIA
station calling say again ,011_0045,[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4],STATION COLLING THIGEN
transwede one zero seven rhein identified ,011_0046,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",RANSWID ONCE HE WAS SEVEN RYNIGHT AND DEFINED
india sierra alfa contact rhein one two seven three seven ,011_0047,"[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",INDIANSIERRA EFA CONTECT LINE ONE TWO SEVEN THREE SEVEN
alitalia one one seven rhein identified olympic one four four request your heading ,011_0048,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 3 3 4]",AITALIA BON VON SEVEN RHINI DEDN DEFIED OLYMPIC ONE FOLFOGLIC VESTUR HEADING
olympic one four four turn left heading one one five for separation ,011_0049,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",WILLIMPI GUON FORFOR TUN LEFT HADDING ONE ONE FIVE FOR SEPARATION
jet set eight one seven rhein identified ,011_0050,"[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",SHE HAD SAID EIGHT ONE SEVEN RHINE I DIDNDIFINED
constellation two two five one contact rhein one three two decimal four ,011_0051,"[3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",CONSTELLATION TWO TWO FIVE ONE CONTECRINE ONE TRI TWO DESMAL FOUR
air malta zero zero four rhein radar identified ,011_0052,"[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 3 3 3 4]",ER MARTA TEOCEOFORRINE RAT IDENDIFINED
olympic one four four set course direct to tango ,011_0053,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 3 3 4 3 3 4 3 3 3 3 3 4]",OLYMPIQUONE FAR FAR SAT CAUSED ALEC TO TANGLE
sobelair two five five seven request heading ,011_0054,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 3 4]",SOBERLY AR TWO FIVE FIVE SEMALI VEST HEADING
sobelair two five five seven turn left heading one one zero separation ,011_0055,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",SOBE AR TWO FIVE FIVE SEVENTURN LEFT HEADING ONE ONE SERO SEPARATION
georgia zero three seven contact rhein one two seven three seven ,011_0056,"[3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",TORTIARS THE RO THREE SEVEN CONTICINE ONE TWO SEVEN THREE SEVEN
viva five eight five rhein radar identified ,011_0057,"[3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4]",LEAVE OUR FIVE FEHT FIVE FRINE RADA I DEN DEFINED
air malta zero zero four for separation descend flight level three one zero ,011_0058,"[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 4]",AMALTA CRO CERO FOUR FOR SEPARATION TO SAND FLOOD LEVEL TRIVONSIL
jet set eight one seven contact rhein one two seven decimal three seven ,011_0059,"[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",CHETS HAD EIGHT ONE SEVEN CONTICTLINE ONE TWO SEVEN DESNAL THREE SEVEN
k l m two six four rhein identified ,011_0060,[3 4 3 4 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],CARLEM TWO SIX FOUR RHINE IDENTIFIED
sobelair two five five seven maintain heading contact rhein one three two decimal four ,011_0061,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 3 3 3 3 4 3 3 3 3 4]",SOBELAR TWO FIVE FIVE SEVEN MAINTAIN HAD IN CONTECRINE ONE TRIE TWO DES MOFOURT
olympic one four four contact rhein one three two decimal four ,011_0062,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",OLIMPICUON FAR FOR CONTECTRINE JANTRE TWO DESMALFOR
sabena seven eight one six rhein radar identified ,011_0063,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 4]",SAPINA SEVEN EIGHT ONE SIX RHINE RADER IDENTIFIED
jet set one four two nine rhein identified ,011_0064,"[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 3 3 3 3 3 4]",JETS AT ONE FOUR TWO NINE OR RINE IDENTIFIED
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,011_0065,"[3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3
 3 3 4 3 3 3 3 4]",EVOLOID FIVE NINE CIRO RHIN REDA IDENTIFIED CLIMB FLAT LEVEL TO NINOSE ROUM
aero lloyd five nine zero direct trasadingen ,011_0066,"[3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 3 4]",EVALOT FIVE NINE YWOULD I LIKE CAZARDINGIN
sabena eight three two rhein confirm your level ,011_0067,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 4 3 3 3 3 3 4]",SAPPING A EIT TRE TWO RHINE CONFIRMU LEVEL
roger identified ,011_0068,[3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],ROCHA IDENTIFIED
alitalia one one nine rhein identified ,011_0069,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",AL ITALIAVON VONINA RHIN IDENTIFY IT
k l m three hundred kilo contact rhein one two seven three seven ,011_0070,"[3 4 3 4 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",CALEM THREE HUNDRED KILO CONTECNINE ONE TWO SEVENTTY SEVEN
transwede one zero seven contact zurich one three four decimal six ,011_0071,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",TRANSVIDVUANCILO SEVEN CONTEXILI QUANTRI FORD ESIMAL SIX
alitalia one one seven zurich one three three decimal four ,011_0072,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",ALITALIA VONVON SEVEN SURICUANTRITRIDE S MOFOR
alitalia four eight five rhein identified ,011_0073,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",AE ITALIA FOR IT FIVE FOR RINE IDENTIFIED
viva five eight five request heading ,011_0074,[3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4],VIEW OU FIVE FEIT FIVE FLICK VESTHEADING
roger right turn heading zero three zero ,011_0075,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 4]",WATCH A RIT ON HEADING SILOTRISIOL
lufthansa four six five two rhein radar identified climb flight level two nine zero set course trasadingen ,011_0076,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",LOUFTANZAR FON SIX FIVE TWO RHINE RADER IDENDIFIED FLIN FLIGT LEVEL TWO NINO SILS AT CAST GARSETTING IN
delta india charlie papa alfa rhein radar identified ,011_0077,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",DARTA INDIA CHARLE PAPA FOR RIN RADER IDENTIFIED
