transcription,recording_id,model_transcription,difference
transavia three zero six three you have been sent to wrong frequency contact rhein one three two decimal four,041_0708,transavia three zero six three of geenscend to rhein frequency contact rhein one three two decimal four,"{'you', 'have', 'been', 'wrong', 'sent'}"
the lufthansa three six zero four is identified climb to flight level two five zero initially,041_0007,be lufthansa three six zero four is identified climb to flight level two five zero initially,{'the'}
aerovic one zero six one call now genev sorry m milan one three four decimal five two bye bye,101_1033,aerovic one zero six one call now genev sorrin milan one three four decimal five two bye bye,"{'m', 'sorry'}"
k l m two six four for shortcut turn left by ten degrees,031_0050,k l m two six four for short cut turn left by ten degrees,{'shortcut'}
aerovic one zero six one maintain your speed decimal seven five or less,041_0670,aerovic one zero six one maintain your speed decimal seven five four less,{'or'}
lufthansa three five zero eight climb flight level three zero zero expedite climb,041_0378,lufthansa three five zero eight climb flight level three zero zero expetaid climb,{'expedite'}
air link one three call milan one three four decimal five two bye bye,111_0319,airlink one three call milan one three four decimal five two bye bye,"{'link', 'air'}"
tag belstar five zero two hotel identified,051_0528,trabelsa five zero two hotel identified,"{'tag', 'belstar'}"
aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex that is sierra papa romeo and then flight planned route,021_0705,aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex a sierra papa romeo and then flight planned route,"{'is', 'that'}"
india foxtrot golf is identified ill call you back for higher in two minutes,092_0316,india foxtrot golf is identified i call you back for higher in two minutes,{'ill'}
tag lufthansa three five zero eight identified maintain two four zero upon reaching ill call you back for higher,031_0327,tag lufthansa three five zero eight identified maintain two four zero pone region ill call you back for eigh,"{'upon', 'reaching', 'higher'}"
lufthansa eight two six eight expect further climb in about one and a half minute,051_0430,lufthansa eight two six eight expect further climb in about one an haf minute,"{'half', 'a', 'and'}"
swissair nine three five nine descend now flight level three three zero descend at two thousand feet per minute or more,011_0310,swissair nine three five nine descend now flight level three three zero descend two thousand feet a minute or more,"{'at', 'per'}"
mission six zero one five three own navigation to tango,101_0714,mitian six zero one five three own navigation to tango,{'mission'}
speedway two three five two contact zurich on one three four decimal six good bye,071_0615,abeeduiaey two three five two contact zurich con one three four decimal six good bye,"{'speedway', 'on'}"
iberia three five three zero good morning radar contact proceed inbound zurich east fusse,101_0256,iberia three five three zero good morning radar contact proceed ingboun zurich east fusse,{'inbound'}
bye bye,101_0426,ah bye,set()
lufthansa four seven zero zero fly heading two one zero for shortcut,111_0264,lufthansa four seven zero zero fly heading two one zero four so cut,"{'shortcut', 'for'}"
lufthansa four four one six good afternoon radar contact if i give you climb clearance could you make it with ah two thousand,111_0561,lufthansa four four one six good afternoon radar contact if i give you climb clease could you make it with ah two thousand,{'clearance'}
merair six nine four four contact zurich on one three four six good day,071_0131,meir air six nine four four contact zurich on one three four six good day,{'merair'}
bull blue five seven two contact milan one three four five two bye,091_0311,b blue five seven two contact milan one three four five two bye,{'bull'}
oh im sorry ah mis ah merair six nine four four maintain three one zero i see your destination sorry maintain three one zero,101_0503,oh am sorry ah missa merair six nine four four maintain three one zero i see your destansation sorry maintain three one zero,"{'mis', 'destination', 'im'}"
ah confirm that tarom three seven four called,031_0641,ah confirm the tarom three seven four could,"{'called', 'that'}"
roger and how do you read now,061_0586,roger and how read now,"{'do', 'you'}"
swissair six five nine descend to flight level two two zero,071_0756,swisair six five nine descend to flight level two two zero,{'swissair'}
alitalia six four seven four contact ahm rhein control on one two zero nine two bye bye,101_0030,alitalia six four seven four contact and rhein control on one two zero nine two bye bye,{'ahm'}
iberia two six six three contact zurich on one two five decimal eight five good bye,071_0645,aiberia two six six three contact zurich on one two five decimal eight five good bye,{'iberia'}
condor nine seven two contact zurich one three three decimal four,111_0645,condar nine seven two contact zurich one three three decimal four,{'condor'}
german air force four one four call now geneva one three three one five bye bye,091_1001,german air force four one four contact geneva one three three one five bye bye,"{'call', 'now'}"
cross air five one two ah zurich one two five eight five,081_0092,cross air five one two zurich one two five eight five,{'ah'}
jet set one four two nine rhein radar identified,051_0057,jet set one four two nine rheine radar identified,{'rhein'}
and swissair eight zero six youre cleared from present position to costa which is charlie oscar alfa,011_0209,and swissair eight zero six youre cleared from present position to costa just charlie oscar alfa,"{'which', 'is'}"
air malta four five zero identified route ageri zurich east nelli maintain flight level three two zero,101_0929,air malta four five zero identified route ageri zurich east nelly maintain flight level three two zero,{'nelli'}
lufthansa eight two two one ah contact milan one three four five two good bye,092_0362,lufthansa eight two two one contact milan one three four five two good bye,{'ah'}
emirates zero two four contact milan one three four decimal five two bye bye,101_0946,aimbero zero two four contact milan one three four decimal five two bye bye,{'emirates'}
olympic one four four proceed direct to kempten,071_0216,olampic one four four proceed direct to kempten,{'olympic'}
aero lloyd five three three bonjour maintain flight level three four zero kines st prex willisau,071_0630,la five two three bonjour maintaighn flight level three four zero kines st prex willisau,"{'lloyd', 'maintain', 'aero'}"
bonjour centennial one five seven identified st prex willisau flight level three two zero,071_0568,bonjour alitalia one five seven identified st prex willisau flight level three two zero,{'centennial'}
ah air berlin five two five five guten tag identified,031_0166,air berlin five two five five guten tag identified,{'ah'}
lufthansa five nine three one good afternoon radar contact maintain flight level three four zero continue present heading until advised,101_0124,lufthansa five nine three one good afternoon radar contact maintain flight level three four zero continue present heading until derised,{'advised'}
airlink one three zurich radar good morning identified route trasadingen zurich east fusse maintain flight level three zero zero,092_0009,airlink one three zurich radar good morning identified route trasadingen zurich east busse maintain flight level three zero zero,{'fusse'}
shamrock four eight six four contact rhein control on one three two decimal four bye bye,111_0389,shemrack four eight six four contact rhein control on one three two decimal four bye bye,{'shamrock'}
egypt air eight eight four is identified,051_0779,egyptair eight eight four is identified,"{'egypt', 'air'}"
p s a five zero two hotel guten tag identified,061_0566,p s a five zero two ho tel guten tag identified,{'hotel'}
hallo lufthansa five two nine four radar contact climb flight level three three zero,111_0387,hallo lufthansa five to nine four radar contact climb flight level three three zero,{'two'}
lufthansa four five eight two is identified climb flight level two nine zero,041_0175,lufthansa four five eight two is identified im flight level two nine zero,{'climb'}
i f o two two bravo good afternoon squawk seven five three five,101_0756,alfir two two bravo good afternoon squawk seven five three five,"{'i', 'f', 'o'}"
alitalia four zero one now youre recleared flight level three three zero the rate of climb at least two thousand,082_0103,alitalia four zero one now your reclair flight level three three zero the rate of climb at least two thousand,"{'recleared', 'youre'}"
onur air nine eight nine guten tag and georgia air zero three seven both identified,051_0456,bonor air nine eight nine guten tag and geoger ah zero three seven both identified,"{'onur', 'georgia'}"
airfrans six seven three four f climb to flight level three five zero,081_0332,airfrans six seven three four climb to flight level three five zero,{'f'}
affirm,051_0220,affa,{'affirm'}
sobelair two five five seven rhein one through one three two decimal four tschuss,061_0069,sobelair two five five seven rhein one three one three two decimal four tschuss,{'through'}
hapag lloyd one nine five bonjour identified cleared valda passeiry bilsa flight level three four zero,072_0019,hapag lloyd one nine five bonjour identified cleared balda passeiry bilsa flight level three four zero,{'valda'}
midland seven two zero call rhein one two seven three seven good day,061_0341,midland seven two zero call rhein one two seven three seven gearding,"{'good', 'day'}"
yeah sabena eight zero one i observe you at flight level two nine zero in the viscinity of romeo mike sierra on a heading you are two nine zero maintaining confirm your level,071_0332,ah sabena eight zero one i p fo at flight level two nine zero in a vicinity of romeo mike sierra on heading you a two nine zero maintaining confirm you level,"{'observe', 'your', 'viscinity', 'yeah', 'are', 'the'}"
t w a eight hundred contact milano one two five eight five good bye,071_0634,t lu a eight hundred contact milano one two five eight five good bye,{'w'}
lufthansa four four one six direct saronno,111_0572,lufthansa four four one six direct soronno,{'saronno'}
three six zero four give me a good rate of climb until passing three two zero please,111_0263,three six zero four ge me good rate of climb until passing three two zero please,"{'give', 'a'}"
alitalia two nin no disregard,061_0492,alitalia two nine no disregard,{'nin'}
adria one six two seven guten tag identified,031_0256,ra one six two seven guten tag identified,{'adria'}
ukay six two five milano on one two five eight five good bye,071_0476,ukair six two five milan one one two five eight five good bye,"{'on', 'ukay', 'milano'}"
and that wasnt air malta calling say again your callsign,111_0752,and ta wasnt or malta calling say again your posi,"{'callsign', 'air', 'that'}"
lufthansa five two nine four good morning radar contact ah recleared flight level three three zero,091_0262,lufthansa five two nine four good morning radar contact and reclair flight level three three zero,"{'recleared', 'ah'}"
oh sorry station calling say again,091_0162,sorry station calling say again,{'oh'}
and india sierra alfa climb with one thousand five hundred feet per minute or more,061_0021,and india sierra alfa climb one thousand five hundred feet per minute or more,{'with'}
alitalia four one six good afternoon squawk zero four two zero correction seven five three three sorry,101_0100,alitalia four one six good afternoon squawk zero four two zero correction seven five three three zero,{'sorry'}
lufthansa five three zero five correct call zurich sector one three three decimal four bye bye,101_0856,lufthansa five three zero five correct call zurich sec one three three decimal four bye bye,{'sector'}
sunwing five two one four identified,051_0334,sunwing five two one four time identified,set()
hamburg air two five four six own navigation tour du pin cli contact marseille one two five eight five,071_0490,hamburg air two five four six own navigation tour du pinclin contact marseille one two five eight five,"{'pin', 'cli'}"
french line nine one six five zurich radar good afternoon identified maintain flight level three three zero trasadingen zurich east fusse,101_0858,french line nine one six five zurich radar good afternoon identified maintain flight level three three zero trasadingen zurich east busse,{'fusse'}
aerovic one zero six one own navigation st prex contact milan one three four five two good bye,101_0839,avec one zero six one own navigation st prex contact milan one three four five two good bye,{'aerovic'}
delta november alfa proceed via trasadingen canne,101_0510,delta november alfa proceed my trasadingen canne,{'via'}
german air force four nine zero one good afternoon maintain level three four zero trasadingen and st prex,091_0581,german air force four nine zero one good afternoon maintain level three four zero trasadingen st prex,{'and'}
nine seven own navigation to epinal,071_0432,nine seven or own navigation to epinal,set()
good afternoon japan air four one nine radar contact descend flight level two five zero,101_0297,good afternoon jeven air four one nine radar contact descend flight level two five zero,{'japan'}
thats correct stand that routing,101_0009,thats correct stand a routing,{'that'}
negative to the right heading zero one five,101_0662,negative to to right heading zero one five,{'the'}
ah tarom three seven four for separation turn left heading one zero five,041_0636,matarom three seven four for separation turn left heading one zero five,"{'ah', 'tarom'}"
hapag lloyd six five three contact zurich one three four decimal six,051_0037,hapag lloeight six five three contact zurich one three four decimal six,{'lloyd'}
yeah,031_0688,a,{'yeah'}
roger sir recleared flight level three one zero thank you for your help,031_0151,roger s a recleared flight level three one zero thank you fi your hap,"{'for', 'help', 'sir'}"
thank you,041_0667,sankoir,"{'thank', 'you'}"
speedbird five six three contact radar on one two eight decimal one five good bye,081_0026,speedbird five six three contact radar on one two is decimal one five good bye,{'eight'}
turkish five one five contact rhein one two seven three seven tschuss,061_0140,tag a five one five contact rhein one two seven three seven tschuss,{'turkish'}
sabena eight zero one ah rhein identified,071_0306,sabena eight zero one rhein identified,{'ah'}
georgia air zero three seven rhein radar identified,051_0041,george air zero three seven rhein radar identified,{'georgia'}
alright thank you very much further climb radar one three three point four bye,091_0810,alright thank you air moch further climb radar one three three point four bye,"{'very', 'much'}"
balkan four three one contact ah reims on one three four four bye,101_0024,balkan four three one contact reims on one three four four bye,{'ah'}
iberia three five three zero continue descent to flight level two nine zero,111_0654,iberia three five three zero continue descend to flight level two nine zero,{'descent'}
hapag lloyd six five three rhein radar identified climb flight level two seven zero,051_0018,hapag lloeight six five three rhein radar identified climb flight level two seven zero,{'lloyd'}
co,071_0788,cot,{'co'}
yeah,071_0309,a,{'yeah'}
bonjour berlin five zero eight one cleared direct la tour du pin flight level three three zero,081_0076,bonjour berlin five zero eight one cleared ah direct la tour du pin flight level three three zero,set()
ah alitalia four eight five good morning roger,081_0354,alitalia four eight five good morning roger,{'ah'}
and four two zero nine expect an initial descent in about two minutes from now,031_0241,and four two zero nining speekt an initial descent in about two minutes from now,"{'nine', 'expect'}"
good afternoon israeli air force four four two maintain level three five zero,101_0825,good afternoon israeliar force four four two maintain level three five zero,"{'israeli', 'air'}"
tag jet set one four two nine identified,051_0477,tag jet see one four two nine identified,{'set'}
emirates eight one good morning maintain level three three zero trasadingen zurich east to fusse,091_0540,emeroits eight one good morning maintain level three three zero trasadingen zurich east to fusse,{'emirates'}
alitalia two nine two radar contact trasadingen karlsruhe climb flight level three two zero,082_0079,alitalia two nine two radar contact trasadingen kasruhe climb flight level three two zero,{'karlsruhe'}
delta mike echo good afternoon call you back,101_0790,delfa mike co good afternoon call you back,"{'delta', 'echo'}"
tarom three seven four is identified maintain the heading,051_0740,tam three seven four is identified maintain the heading,{'tarom'}
alitalia three zero one bonjour cleared passeiry torino flight level three three zero,081_0008,alitalia three zero bonjour cleared passeiry torino flight level three three zero,{'one'}
swissair four eight eight turn right heading of ah zero eight zero,082_0044,swissair four eight eight turn right heading of zero eight zero,{'ah'}
roger delta november alfa maintain heading after passing neckar,011_0312,roger delta november alfa maintain heading after passing neco,{'neckar'}
affirm,041_0610,affi,{'affirm'}
cross air eight five eight call rhein on ah one two seven three seven good day,071_0097,cross air eight five eight call rhein on one two seven three seven good day,{'ah'}
shamrock four eight two two descend flight level three zero zero,091_0904,sharak four eight two two descend flight level three zero zero,{'shamrock'}
scandinavian six eight six contact rhein one three two decimal four hejda,091_0021,scandinavian six eight six contact rhein one three two decimal four aero,{'hejda'}
belstar five two six hotel proceed direct to kempten kilo papa tango,061_0121,belsa five two six hotel proceed direct to kempten kilo papa tango,{'belstar'}
merair six nine four four is identified,051_0772,air six nine four four is identified,{'merair'}
k l m three four six good morning identified,012_0181,k l a three four six good morning identified,{'m'}
emirates eight one contact milan one three four five two bye,111_0456,ameras eight one contact milan one three four five two bye,{'emirates'}
hotel tango romeo schonen tag identified,061_0401,hotel tango romeo fine on tag identified,{'schonen'}
scandinavian s scandinavian six one four set course direct frankfurt,111_0400,scandinavians scandinavia six one four set course direct frankfurt,"{'scandinavian', 's'}"
delta mike echo fly direct to karlsruhe climb flight level two seven zero now,031_0251,delta mike echo fly direct to karlsruh climb flight level two seven zero now,{'karlsruhe'}
k l m three four six to stay clear later on french military air space turn right heading three five zero,031_0202,k l m three four six to say cleared later now french military airspese turn right heading three five zero,"{'clear', 'stay', 'on', 'air', 'space'}"
tag speedbird one two nine identified,021_0206,tag sbeel one two nine identified,{'speedbird'}
delta november alfa fly heading one eight five,011_0371,delta november alfa fly heading ng one eight five,set()
europa three six one now direct tango and contact rhein control on one three two four bye bye,091_0518,europa three six one ah now direct tango and contact rhein control on one three two four bye bye,set()
luftha,091_0864,lufthans,{'luftha'}
olympic one four four rhein radar one three two decimal four,031_0048,olampic one four four rhein radar one three two decimal four,{'olympic'}
shamrock four eight two two contact milan one three four decimal five two good day,091_0186,gemrock four eight two two contact milan one three four decimal five two good day,{'shamrock'}
spar eight nine nine contact marseille on one two five decimal eight five good bye,071_0758,spar eight nine contact marseille on one two five decimal eight five good bye,set()
turkish five one five rhein identified,011_0108,turkash five one five rhein identified,{'turkish'}
i say again malaysian four contact rhein radar one two seven decimal three seven,051_0343,saigan malaysian four contact rhein radar one two seven decimal three seven,"{'i', 'again', 'say'}"
swissair four eight eight good morning maintain two eight zero when reaching call you back for higher,101_0586,swissair four eight eight good morning maintain two eight zero and reation call you back for higher,"{'when', 'reaching'}"
tag belstar five oh two hotel identified,061_0119,tag belsa five oh two hotel identified,{'belstar'}
lufthansa five five zero four contact geneva milan one three four five two bye,101_0449,lufthansa five five zero four contact geneva ohh milan one three four five two bye,set()
netherlands air force four one four descend flight level three two zero expedite descent as crossing traffic,071_0257,netherlands air force four one four descend flight level three two zero expet i descent as crossing traffic,{'expedite'}
yeah,021_0031,a,{'yeah'}
lufthansa five five zero four zurich radar good morning identified trasadingen to s fribourg maintain flight level three three zero,092_0046,lufthansa five five zero four zurich radar good morning identified trasadingen to s fribo maintain flight level three three zer,{'fribourg'}
lufthansa four six five two bonjour identified cleared passeiry la tour du pin flight level three zero zero stand by for higher,072_0175,ftansa four six five two bonjour identified cleared pasreela tour du pin flight level three zero zero stand by for higher,"{'passeiry', 'lufthansa', 'la'}"
saudia three four one good morning maintain flight level three three zero got radar contact,081_0553,sauda three four one good morning maintain flight level three three zero go radar contact,"{'got', 'saudia'}"
cross air six eight six contact marseille one two five eight five good bye,071_0746,sair six eight six contact marseille one two five eight five good bye,"{'cross', 'air'}"
golf bravo victor juliett india is identified good afternoon,051_0227,goll bravo victor juliett india is identified good afternoon,{'golf'}
jetaviation seven zero one direct ah fribourg,081_0709,jetaviation seven zero one direct affriebourg,"{'ah', 'fribourg'}"
gulf air zero zero five good afternoon radar contact,071_0086,alfair zero zero five good afternoon radar contact,"{'gulf', 'air'}"
lufthansa three five si six six contact zurich one three four six tschuss,031_0204,lufthansa three five six six six contact zurich one three four six tschuss,{'si'}
lufthansa three six three eight guten morgen climb to flight level two seven zero,021_0495,lufthansa three six three eight good morging climb to flight level two seven zero,"{'guten', 'morgen'}"
japan air four one nine contact milan one three four five two bye,101_0308,german air four one nine contact milan one three four five two bye,{'japan'}
