transcription,recording_id,labels,model_transcription
india sierra alfa call rhein on ah one two seven three seven good day ,021_0385,"[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 4 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",INDIA S ALFA CALRINE ON UH ONE TWO SEVEN THREE SEVEN GOOD DAY
alitalia three zero one contact milano one two five decimal eight five good bye ,071_0408,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 4]",I DE THIHT  TESIT O ONE GOING TACK TO MEONO ONE TO FIVE THIS MONE EGH FIVE GOOD BYE
tag speedbird one two nine identified ,021_0206,"[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4]",TAX PA ONE TO NINE AN IDENTIFY IT
good morning alitalia one one seven radar contact descend flight level three three zero ,091_0459,"[3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",GOOD MORNING O LE TELL YOU ONE ONE SEVEN RADAR CONSACT HE'S IN FLAT OF A THREE TREE ZERO
air adria one six two seven is identified ,021_0619,"[3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",YEAH I  ON SIX TO SEVEN TIS IDENTITIFIED
jet set four nine seven good morning radar contact ,021_0515,"[3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",CHITS AT FOUR NINE U SEVEN GOOD MORNING RAT AR CONTACT
merair six nine five two good afternoon radar contact trasadingen saronno ,101_0430,"[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",MIA SIX NINE FIVE TWO GOOD AFTERNOONRATE A CONTACT TRIAL SETTING SO ON NO
[FRAGMENT] ,111_0557,[ 3 22 13  8 21 19  5 10  6  3  4],OKAY
india fox golf good morning squawk two seven four four ,111_0139,"[3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",INDIA FOXGOLF GOOD MORNING SQOOK TWO SEVEN FOUR FOUR
speedway three four six nine descend flight level two seven zero ,091_0858,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",SPEED WAY THREE FOUR SIX NINE NINETY SEVEN FLIGHT LEBER TWO SEVEN ZERO
britannia triple two alfa contact rhein one three two decimal four ,021_0111,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",PITANA TIBL TWO IFA CONTECT INE ONE THREE TWO DESMA FOUR
swissair nine three six zero is identified expect higher in five minutes i'll call you back ,011_0205,"[ 3  3  3  3  3  3  3  3  4  3  3  3  3  4  3  3  3  3  3  4  3  3  3  4
  3  3  3  3  4  3  3  4  3  3  3  3  3  3  3  3  3  3  4  3  3  3  3  3
  3  4  3  3  3  3  3  3  4  3  3  4  3  3  3  3  4  3  3  3  3  3  3  3
  4  3 26  3  3  4  3  3  3  3  4  3  3  3  4  3  3  3  3  4]",SO IT'S A NINE A THREE SIX ZERO IS IDENTIFIED EXPECT HION UH FIVE MINUTES I COYBACK
oh it's one three four five two ,061_0410,"[ 3  3  4  3  3 26  3  4  3  3  3  4  3  3  3  3  3  4  3  3  3  3  4  3
  3  3  3  4  3  3  3  4]",OH IT'S MONTHLY FOUR FIVE TOO
ah sorry ,011_0368,[3 3 4 3 3 3 3 3 4],SRY
airfrans three two six one climb to flight level two nine zero ,111_0001,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",E FRONS THREE TWO SIX ONE CLUMP TO FRONT LEVEL TWO NINE A ZERO
transwede three five seven one reims one three four decimal four good bye ,091_0059,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",TRANSVE THREE FIVE SEVEN ONE RAS ONE THREE FOUR TOSMO FOLY
alitalia two six two contact reims on one three two two seven good bye ,071_0502,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3
 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",I DI TA YA TWO SIX TOO CONTAC TAS ON ONE THREE TWO TWO SEVEN GOOD BYE
lufthansa four three five six contact reims one three four four bye ,111_0457,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",LOFTINS A FOUR THREE FIVE SIX CUNDAANS ONE TREE FOUR FOR BY
tarom three seven four ,021_0299,[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4],TOLAM PLESE HAVEEN'T FALL
[FRAGMENT] ,111_0055,[ 3 22 13  8 21 19  5 10  6  3  4],THE
[FRAGMENT] ,091_0283,[ 3 22 13  8 21 19  5 10  6  3  4],SKA
delta echo charlie turn left to delta kilo bravo ,041_0168,"[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3
 4 3 3 3 3 4 3 3 3 3 3 4]",THAT THE ECO CHARLY TURNED LEFT TO DELTAKULA BAVO
lufthansa three six zero four what will be your rate of climb ,111_0743,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",LOFTENSA TE SIX ZERO FOUR WHAT WILL BE YOUR RATE OF CLIMB
viva nine zero eight one descend to flight level three one zero ,111_0095,"[3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",BIVA NINE ZERO EIGHT ONE DECENT FLIGHT LEVEL THREE ONE ZERO
aero lloyd six five two climb to flight level three one zero ,021_0685,"[3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",ALTHOUGH AT FIVE SIX TWO CLIMB TO FLIGHT LIVER THWE ONE ZERO
speedbird seven seven whiskey whiskey is identified fly heading two five zero ,092_0376,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3
 3 3 3 4]",SO YE BROT SEVEN SOME WHISKY WHISKIS IDENTIFIE FLY HEATING TWO FIVE SERO
golf juliett india turn right to herbi intersection ,051_0244,"[3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 3 3 4]",GO OF JULIET INDIA TUN RIHTE TO HURBY INTERSECTION
tarom three seven two contact rhein radar one three two decimal four ,031_0573,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",TOWN THREE SEVEN TWO CONTECTVIN ALEDA ONE THREE TWO DESIM FOUR
air portugal four one one three contact zurich one three four decimal six au revoir ,071_0887,"[3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4
 3 3 4 3 3 3 3 3 3 4]",O PORTOGO FOUR ONE ONE THREE CONTACORIC ONE THREE FOUR TO SIMO SIX SO A
sunwing five two one two in radar contact ,021_0657,"[3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 3 3 4]",SIING FIVE TWO ONE TWO IN THE RADOR CONTEXT
~k ~l ~m three four six climb to flight level three two zero ,041_0591,"[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",GA EM THREE FOUR SIX CLUMP TO FLOD THE VOLTETO ZERO
sabena seven eight one six is identified climb to flight level three four zero ,091_0543,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3
 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4
 3 3 3 3 4]",SO BE NO SEVEN EIGHT ONE SIX IS IDENTIFIED CLIMBED TO FLIGHT LEVEL THREE FOUR ZERO
sobelair two five five seven contact rhein one three two decimal four ,061_0524,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",SOOLAT TWO FIVE FIVE SEVEN CRINTICTRINE ONE THREE TWO DISMA FOUR
speedway three four six nine good afternoon maintain level three hundred ,081_0784,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",SPEDA THREE FOUR SIX NINE OR GOOD AFTENON MAINTAIN LEVEL THREE HUNDRED
lufthansa five five zero four contact zurich one three four decimal six ,021_0629,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LOFTONS AR FIVE FIVE ZERO FOUR CONTEXT T ONE THREE FOUR TO SOM O SIX
lufthansa four six five two contact zurich one three four decimal six ,061_0564,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",OFTIMS A FOUR SIX FIVE TWO CONTECT SUIONTREE FOTIS  O SIX
air berlin five zero eight one roger climb initially to level three four zero ,072_0097,"[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 4]",UH BUT IN FIVE CERO EIGHT TO ONE RODCERCLE I'M INITIALLY TO LEVEL THREE FOUR ZERO
belstar five two six hotel call rhein on one three two decimal four ,021_0463,"[3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 4 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",BETTER STAR FIVE TWO SIX SOTEL COLOGINE ON ONE TWET TWO DISIMOT FOUR
gulf air zero three two set course direct fusse further contact munich on one three four milan one three four five two bye bye ,111_0516,"[3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 4
 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4]",GOLDFA SEO TREE TWO SA COSTARIK FUSE FOR THE CONSA MUNIC I'M ON THREE FOR MIINE ON THREE FOUR FIVE TWO BYE BYE
roger turn left heading three five five ,061_0078,"[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 4]",O DRU O AND LEFT HEDDING THREE FIVE FIVE
aero lloyd five nine zero good morning radar contact maintain two nine zero trasadingen canne ,081_0620,"[3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4]",EALA FIVE NINE A ZERO GOOD MORNING RADA CONSACT MAINTAIN TWO NINE ZERO THRYZET AND GUNIT
<OT> thank you very much </OT> ,011_0386,[3 7 6 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 7 6 3 4],THANK YOU VERY MUCH
turkish five one five rhein radar identified ,071_0277,"[3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 4]",TOOK IS FIVE ONE FIVE FIN LATER IDENTIFY ET
speedbird one two four contact rhein one two seven decimal three seven ,021_0112,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",SPEPAD ONE TWO FO CONTECTRINE ONE TWO SEVEN DESIMA THREE SEVEN
german air force five eight five and fly heading three six zero ,021_0416,"[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4
 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",GERMAN AR FORCE FIVE EIGHT FIVE AND FLY HEADING TWETY SIX CIVO
alitalia four eight seven contact zurich one three four decimal six ,071_0304,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",ADITALIA FOUR EIGHT SEVEN CONTEX SUI ONE THREE FOUR DESIMA SIX
lufthansa four three five six radar contact climb flight level three two zero route via trasadingen hochwald morok ,091_0748,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3
 3 3 3 4]",LOFTAS A FOUR THREE FIVE SIX RADOR CONSA CLIME FLAT OF A THREE TWO ZERO ROOT MY TROSETING HOLE FILE MODO
condor one zero four own navigation to st prex climb to flight level three seven zero ,081_0291,"[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3
 3 4 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 4]",CONDO ONE ZERO FOUR ON A VAGATION TROSUMPRA CLIMB TO FLIGHT LEVEL THREE SEVEN ZERO
belgian airforce four four turn left now heading three two zero ,021_0264,"[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4
 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",ETRMAN FOURS FOUR FOUR TUN LEFT NOW HADDING THREE TWO ZERO
speedway three three five two descend initially to flight level three three zero ,091_1052,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 3 4]",SPEED BY THREE THREE FIVE TWO DAY SUNDAY INITIALLY TO FLY LEVEL THREE THREE ZERO
airfrans six seven zero own navigation saronno expect descent in twenty miles ,111_0313,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3
 3 3 3 4]",F A SIX SEVEN SETO NAVIGATIONS OUT ON NO EXPECT DESEND IN TWENTY MILES
sabena seven eight one six good afternoon squawk two seven one six ,091_0542,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4]",SO IN A SEVEN EIGHT ONE SIX GOOD AFTERNOONS CWORK TWO SEVEN ONE SIX
tag ~k ~l ~m two six four identified [HNOISE] ,051_0473,"[ 3  3  3  4  3  3  4  3  3  4  3  3  4  3  3  3  4  3  3  3  4  3  3  3
  3  4  3  3  3  3  3  3  3  3  3  3  4  3 11 10  7  9 12  5  3  4]",TALK AD IM T SIX FOR IDENTIFIED
airfrans six seven zero good morning identified albix saronno maintain three four zero ,111_0293,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 4]",AV FO SIX SEVEN ZERO IN MORNING IDENTIFIETD I'LL BESOTO ND THY'L MAINTAIN THREE FOURS AT O
sabena eight three eight call rhein on one two seven three seven good day ,041_0428,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",SABINA EIGHT THREE EIGHT COLGINE ON ONE TWO SEVEN THREE SEVEN GOOD DAY
alitalia one five seven report your heading ,051_0604,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4]",I D TELL YOU ONE FIVE SEVEN W E POUGT YOUR HEADING
one th= yeah one three three one five please ,101_1047,"[3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 3 4]",ONE TH YEAH ONE THREE THREE ONE FIVE PLEASE
cross air eight five eight is identified ,041_0072,"[3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",CLOSER EIGHT FIVE EIGHT IS IDENTIFIED
gibair nine eight eight lima bonjour cleared passeiry torino flight level three three zero ,071_0653,"[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",SHE'V GOT ANINY TIFTEE MYMO SORK O PASEITO HE KNOFLITE I TA TRIZEL
tag merair six nine five two identified climb flight level two nine zero correction two five zero ,061_0442,"[3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",TALK MA A SIX NINE FIVE TWO IDENTIFIED CLAMFLALOV E TWO NINEA ZERO COLLECTION TWO FIVE ZERO
sabena seven eight one six direct to nattenheim ,061_0111,"[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 4
 3 3 3 3 3 3 3 3 3 3 4]",BEEN A SEVEN EIGHT ONE SIX DOC TO NUTINHEIM
jat two seven three contact munchen one three four five two tschuss ,061_0408,"[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",YETT TWO SEVEN THREE CONTECT MINCION ONE THREE FOUR FIVE TWO TRIS
