transcription,recording_id,model_transcription
delta echo bravo climb initially to flight level three two zero ,091_0966,delta echo bravo climb initially to flight level three two zero
foxtrot sierra india milan one three four five two good bye ,081_0789,fox rate ra india milan one three four five two go bye
con ah so pick up ah heading of ah one six five ,041_0490,con so pick up a heading of one six five
k l m three four six is identified report your heading please ,031_0568,gellhems rei four six is identified report yehunding pleace
sabena seven eight one six turn r left to nattenheim ,061_0581,have been assemin eight onth six turn left to nuttenheim
alitalia four eight five contact zurich one three three decimal four ,031_0477,alitalia four eight five contact zurich one three three dismal four
lufthansa four six six five milan one three four decimal five two bye bye ,101_1032,lufthansa four six six five milan one three four decimal five two bye bye
hapag lloyd six five three climb to level three one zero ,041_0419,abaglloid six five three climb the level three one serock
netherlands four one four non r v s m radar contact ,041_0462,netherlands four one four nonarbiism redar contact
k l m three four six climb to flight level three two zero ,071_0028,gelhum three four six climb flight level three two seron
stand by air malta zero zero four turn right heading zero three zero ,111_0012,stand by air malta zero zero four ten wrihtering zero three zero
l t u seven seven five six good afternoon roger ,091_0652,al two seven seven five six good afternoon roger
emirates eight one good morning maintain level three three zero trasadingen zurich east to fusse ,081_0196,emuretseigd one good morning maintain level three three zero ra reading in sureques to fusse
merair six nine four four direct to trasadingen ,071_0102,may air six nine four four direct to d reading
sunwing five two one four contact zurich one three three decimal four ,021_0699,sunwing five two one four contact sure one three three decimal four
gulf air zero three two turn further left heading zero eight zero ,091_0631,golf eir zero three two turn furrleftring zero eizero
ah good morning netherlands air force three five in radar contact ,012_0117,good morning netherlands air force three five in radar contact
hapag lloyd one one two contact rhein radar one two seven decimal three seven ,041_0034,aberloid one one two conduct ine radar one two seven small three seven
air malta one hundred good morning squawk five seven one seven ,111_0122,i malta one hundred good morning co five seven one seven
air malta four five zero proceed to zulu uniform echo ,111_0754,a malta four five zero proceed to zulu uniform echo
alitalia two three four contact reims one three two decimal two seven au revoir ,072_0095,alitalia two three four contact reims one three two decimal two seven or
lufthansa four two zero seven good afternoon in radar contact ,071_0021,lufthans four two zero seven good afternoon in weihter contact
and swissair six five five two contact milan one three four five two good bye ,091_0608,in swissair six five five two contact me line one three four five two bye
meridiana six nine five two proceed now own navigation to trasadingen tango romeo alfa ,012_0289,leriana six nine five two proceed north on navigation to trasling and tango romeo alpha
ah delta mike echo disregard maintain heading ,051_0812,ah delta mike echo disregard maintain heading
air malta one hundred reims one three four four good bye ,092_0383,air malti one hundred reims one three four four bye
portugal four one one three contact zurich one three four decimal six au revoir ,072_0140,vortogal four one one three contact zurich one three four decimal six or
bama one five as well milan one three four five two bye bye ,091_1049,bama one five as well milan one three four five two bye bye
four four two correct rate of descent two thousand feet or more please ,092_0120,four four two correct rate of descent two thousand feet or more please
merair six nine five two climb flight level two five zero ,041_0284,may six nine five two climb flight liver two five zero
roger cleared passeiry la tour du pin flight level three zero zero ,071_0798,roger cleared the passeiry later dubive light level three zero zero
swissair eight zero six report your rate of climb ,011_0220,specia eight zero six report i rad of climb
k l m three hundred kilo for shortcut turn left by ten degrees ,031_0040,celum three hundred killo four short cut ten left by ten degrees
sabena eight three two turn left one five degrees ,021_0424,sabineigh three two turn left one five degrees
k l m three four six climb flight level three two zero ,041_0234,carlimb three for six climb fly lever three two zero
swissair eight zero six climb now flight level three five zero one thousand five hundred or more ,041_0209,swiss eight zero six climb now flight level three five zero one thousand five hotel mor
lufthansa five three one eight contact milan one three four five two bye ,111_0429,lufthansa five three one eigh con same line one three four five two bye
thank you ,101_0453,thank you
constellation two two five one rhein radar identified ,031_0020,constellation two two five one rhein radar identified
lufthansa three five six six continue climb to flight level two nine zero ,051_0653,lufthansa three five six six continue climb to flight level two nine azeho
lufthansa three five five zero descend to flight level two five zero ,092_0068,luftens are three five five zero des at to flight level two five zero
golf juliett india descend to flight level two nine zero ,101_0798,golf chulidindia decent flight level two nine zero
austrian four one six whiskey zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero ,111_0365,austian four one six whiskey oregueirragen morning identified trasadingen suregis through siein flight level three four zero
airfrans one five five four turn left for heading of zero nine zero ,081_0525,airfrans one five five four turn left for hitting a sero nine zero
swissair eight zero six contact rhein radar one two seven decimal three seven ,031_0574,swecides there was six contact line raida one to seven cimal three seven
tag hotel bravo india tango romeo identified ill call you back shortly for higher ,031_0215,tag hotel bravo india tango romeo identified at call back shortly for higher
alitalia four eight seven call zurich on one three four decimal six buongiorno ,021_0487,alitalia for eight seven call zurich on one three four the small six bongano
alitalia four eight five descend to flight level two nine zero ,081_0886,alita le four eight five descent flight level two nine zero
alitalia two three four bonjour squawk five seven seven five ,071_0380,it a la two three four bonjour goo five seven seven five
tarom three seven four report your heading ,041_0635,tarom three seven four report your heading
bye bye ,031_0547,by what
india fox golf turn right to zurich east ,111_0163,india fox golf turn right two surichiest
airfrans three two six one own navigation to st prex ,111_0038,airfrans three two six one or navigation to sain prex
thats correct ,091_0341,thats correct
luftha sorry speedway three three five two descend to flight level two nine zero ,091_1061,sorry speedweigh three three five two descend to flight level two nine zero
hapag lloyd one seven one ah geneva one three three one five good bye ,092_0241,appagloid one seven one cheneva one three three one five give
united six nine descend flight level two nine zero ,081_0651,united six nine eigh decim flight over two nine as well
swissair six seven five two contact marseille on ah one two five eight five good bye ,071_0509,si say six seven five two contact marseille on one to five eight five good bye
blue five seven two good morning descend to flight level three four zero ,091_0008,blue five seven two good morning descent flight level three four zero
lufthansa three three three zero climb to flight level two nine zero ,021_0707,lufthansa treidree tree zero climb to flight level two nine eur zero
bee med one rhein ,051_0315,bee med one rhine
alitalia six four seven four contact rhein one two seven three seven tschuss ,061_0414,alitalia six four seven four contact rhein one to seven three seven trips
united six nine own navigation to fusse ,111_0142,united six nine rei navigation to fusse
europa three six three descend flight level three eight zero ,031_0113,europa three six three descend flight level three eight zero
sabena eight three six identified ,041_0614,savena eigh three six identified
indialook expect higher after kilo romeo hotel ill call you back ,051_0241,in eairlog expect higher after kilo romeo hotel callebec
hoi k l m two six four identified ,061_0076,i charl im two six figh identified
sabena eight zero one right turn trasadingen ,031_0533,sabena eight zero one right turn raseting in
india mike lima lima guten tag identified ,021_0089,india mike lima lima coudnthearg identified
tag malaysian two identified ,061_0026,temilation two identified
air malta zero zero four radar contact direct karlsruhe ,091_0282,malta zero zero four rei dir contact are charsruen
ah lufthansa four five five zero four proceed own navigation to trasadingen ,051_0290,i lufthansa four five five zero four proceet on ivigation to trasadingen
yeah ,051_0300,yeah
speedbird nine four november is your callsign ,111_0693,sbeitbird nine four novemb is a call sign
ill call you back ,051_0198,i quallieback
air inter three two zero papa hotel is identified maintain level three two zero trasa hochwald morok ,111_0032,erranta three two zero papa hotel is identified maintain level three two zero trasa hochwald morok
lufthansa three five zero eight speed at own convenience contact zurich one three four six tschuss ,041_0396,lufthansa three five zero eight speed ed on convenience contact zerege one three four six trips
airfrans three two six one turn left heading two five five climb to level two nine zero ,081_0192,the fronst three two six one turn left heading two five five climb to level two nine zero
lufthansa five five zero four proceed own navigation to trasadingen ,021_0615,lufthansa five five zero four proceed on navigation to trasadingen
lufthansa four two two three good afternoon radar contact trasadingen zurich east fusse ,101_0220,luft has four two two three good afternoon radar contact transforting surugis foot set
sabena eight three zero contact rhein one two seven three seven tschu ,021_0200,sabena it re zero contact rhein one to seven three seven three
adria one six two seven is identified ,051_0732,adrea one six to seven is identified
speedway three four six nine good morning roger ,111_0054,speedway three four six nine good morning roger
gulf air zero zero five contact rhein radar one two seven decimal three seven ,012_0306,golf air zero zero five contact reinrele one to seven decimal three seven
lufthansa three six three eight zurich radar one three four decimal six ,051_0171,left in the three six three eight sure read are one three four decimal six
lufthansa triple five zero resume own navigation inbound fribourg ,082_0048,lufthansa triple five zero resume own navigation in balfreebourg
lufthansa five two one seven guten tag identified proceed direct to dinkelsbuhl ,021_0284,lufthansa five to one seven tag identified proceed director dinkelsbure
alitalia one five seven radar contact ,041_0529,alitalia one five seven radar contact
german air force five eight five contact rhein one three ah one two seven three seven ,051_0510,german air force five eight five contact rhein one three one to seven three seven
bye ,111_0217,ye
delta echo bravo ,111_0642,there to echo bravo
scandinavian six one seven descend to flight level two nine zero descend at one thousand five hundred feet per minute or more ,011_0285,scheneneiensex one seven descent to flight level two nine zero descend at one thousand five hundred feet per minute or more
jetcom one three three for further climb zurich one three three four good bye ,092_0233,jetcom one three three for four climb toury one three three four bye
bee med one contact rhein radar one three two decimal four ,031_0638,bee med one conduct winerider one threty two decimal four
condor one zero four contact now zurich on one three three decimal four good bye ,092_0242,con do one zero four condact now two re in one three three decimal four bine
tag alitalia four eight five identified ,061_0092,direlitariafoid five identified
tag german air force five eight five identified report your heading ,051_0469,thadramefhas five eight five identified report i heading
midland seven two zero contact rhein one two seven decimal three seven ,021_0133,midland seven two zero contact rhein one two seven decimal three seven
u s air one four direct fusse ,081_0573,you s i one four direct fusse
roger ill call you back ,041_0422,i think holliebecg
lufthansa five two one seven is identified good afternoon ,041_0110,lufthansa five to one seven is identified good afternoon
alitalia four zero one contact zurich one three four decimal six ,011_0109,alitalia four zero one contextsurigh one three four desmo six
lufthansa five nine three one bonjour maintain flight level three zero zero st prex willisau ,071_0679,than ta five nine three one bonjoein tail flight level three zero zero sainprei willisau
lufthansa four five eight two good morning ,111_0375,lufthansa four five eight two good morning
l t u seven seven five six ah geneva one two eight one five good bye ,071_0513,ill two seven seven five six geneva one two eight one five good line
sabena eight three two contact rhein one two seven three seven ,011_0083,sabena eight three two contact rhein one two seven three seven
transavia three zero six three you have been sent to wrong frequency contact rhein one three two decimal four ,041_0708,transavia tree zero six three you have been sent to wrong frequency contact rhein one three two decimal four
tag sunwing five two one two identified ,021_0288,tag unwiging five to one two identified
sabena four eight one contact rhein one three two decimal four ,051_0011,sabena four eid one contact rhein one three two disimal four
jetaviation ah seven oh one squawk two seven three two ,081_0873,jet deviation seven o one squark two seven three two
sabena seven eight one six radar contact proceed trasadingen karlsruhe ,081_0473,sabena seven eight one six radar chance pressi tran set and charl re it
the lufthansa three six zero four is identified climb to flight level two five zero initially ,041_0007,the left and three six zero force identified climb to flight level two five zero initially
swissair six five two zero good afternoon radar contact climb flight level three two zero ,111_0390,swissair six five two zero good afternoon rhei dir chance climb flight level three two zero
sabena four one eight four eight one descend flight level two nine zero ,031_0384,sabena four one eighge four eight one descend flight level two nine o seven
aerovic one zero six one call now genev sorry m milan one three four decimal five two bye bye ,101_1033,air reach one zero six one colneugine sorry line one three four decimal five two bye bye
aero lloyd five nine zero contact zurich one three four decimal six ,011_0088,airaloid five nine zero contact zurich one three four decimal six
k l m two six four for shortcut turn left by ten degrees ,031_0050,calem two six four four should catteon left by ten degrees
correct ,091_1010,correct
transwede one zero seven contact geneva one three three one five bye bye ,082_0095,transwede one through seven can ta geneva one three three one five bye bie
aerovic one zero six one maintain your speed decimal seven five or less ,041_0670,erievecvanzero six one maintain or speed decimal seven five for less
alitalia four eight five descend to flight level two nine zero ,091_0207,alitalia four eight five descent flight level two nine zero
hamburg air two five four six marseille one two five eight five good bye ,081_0133,ambergheir two five for six marseille one two five eigh five good bye
alitalia two nine one turn now right to trasadingen ,041_0124,alitalia two nine i one turn no right to trasling
roger turn left heading two two zero ,071_0462,i got on left in two two zero
alitalia one one seven good morning descend to level three three zero ,101_0632,ali there one one seven good morning ge centr level three three zero
georgia zero three seven contact rhein one two seven decimal three seven ,051_0053,georgiasiro three seven contact rhein one two seven dismal three seven
lufthansa three five zero eight climb flight level three zero zero expedite climb ,041_0378,lufthansa three five zero eight climb flight level three zero zero expereight climb
air link one three call milan one three four decimal five two bye bye ,111_0319,erling one three call me leain one three four decimal five two be being
roger turn left heading three three zero to permit further climb ,072_0035,a the turn left heading three threes air out to permit further climb
tag belstar five zero two hotel identified ,051_0528,topbellsurfive the rho two hotel identified
aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex that is sierra papa romeo and then flight planned route ,021_0705,eiroloid five six two proceed from present position to oughvauld hotel oscar charlie afterwards to saimbreig per sierra papa romeo and then floedplain roud
alitalia two nine two radar contact climb flight level two nine zero ,091_0413,alitalia two nine or two rei air chainsac climb flight about two nine a ze well
hapag lloyd six five three good afternoon climb to flight level three three zero ,081_0762,upgloid six five three good afternoon climb five level three three era
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,051_0061,eroloid five nine o zero rhein radar identified climb flight level two nine o zero
aero lloyd five one seven contact rhein one two zero nine two tschuss ,091_0645,erloid five one seven contact rhein one two zero nine retwuches
india foxtrot golf is identified ill call you back for higher in two minutes ,092_0316,india fox hot golf is identified at coriback for higher in two minutes
tag lufthansa three five zero eight identified maintain two four zero upon reaching ill call you back for higher ,031_0327,tag lufthansa three five zero eight identified maintain two for zero upon reaching a charlie back for hire
leisure six zero two four ah in radar contact ,041_0425,lesure six zero two four in radar contact
lufthansa eight two two one good morning radar contact ,111_0127,lufthansa age two two one good morning redur contact
sabena eight zero six climb flight level three four zero ,101_0212,sabena eight zero six climb flight over three four zero
britannia three zero six alfa contact rhein one three two decimal four tschuss ,061_0493,britania dree zero six i fox on deccline one three two decimal fortress
lufthansa eight two six eight expect further climb in about one and a half minute ,051_0430,lufthansa eight to six eight expect further climb in about one and half minute
onur nine eight nine radar contact ,061_0232,onur nine eight nine weigh a contact
swissair nine three five two climb to flight level three five zero ,041_0413,swictheir nine three five two climb flight level three five zero
alitalia three six nine turn right to trasa ,031_0700,alitalia three six nine turn right to trasa
swissair nine three five nine descend now flight level three three zero descend at two thousand feet per minute or more ,011_0310,specia nine three five nine eigh descend now flight level three three zero descend at two thousand feftteen minute or more
lufthansa five two three six is identified proceed direct to november tango mike ,051_0676,lufthansa five two three six is identifighed prosidei two november tango mike
lufthansa four four zero eight direct st prex ,101_0312,louftheime sair four four zero eight direct sain prex
lufthansa four three nine zero proceed direct to canne ,111_0609,lufthansa four three nine zero procee director canne
l t u seven seven five six ah good afternoon roger ,081_0823,at two seven seven five six air good afternoon roger
mission six zero one five three own navigation to tango ,101_0714,mission six zero one five three air navigation to tango
swissair nine three six zero climb to flight level three one zero initially ,021_0530,switser nine or three six zero climb to flight level three one zero initially
and speedbird one two nine who cleared you down to flight level one four zero ,071_0015,in speedbird one two nine who cleared you down to flight level one four cere
tag alitalia one three five identified ,041_0324,tag alitalia one three five identified
belgian airforce four four contact rhein radar one two seven decimal three seven ,012_0271,irgen air force four four contact reinreihda one to seven desmal three seven
tag hapag lloyd one one two identified direct frankfurt ,031_0175,thahabagloid one one to identify direct frankfurt
transwede one zero seven geneva one three three one five good bye ,081_0324,treins with one zero seven geneva one three three one five ge
alitalia four zero one milan one three four five two good bye ,092_0390,alitalea four sear one milliin one three four five two in
alitalia four zero four ,101_0452,alitalia force over four
alitalia four zero one continue present heading ,081_0360,alitalia four zero one continue present heading
speedway two three five two contact zurich on one three four decimal six good bye ,071_0615,with reigh three three five two contaxeri con one three four decimal six good bye
tag berlin five two five five identified direct fox fox mike ,041_0197,tagbrelin five two five five identified direct fox fox mike
iberia three five three zero good morning radar contact proceed inbound zurich east fusse ,101_0256,iberia three fightreise roge morning rhei do can see proceeding boundzerges fusse
