transcription,recording_id,input_values,labels,model_transcription
sabena eight three eight rhein identified direct to gotil ,011_0013,"[-0.1068678  -0.15944546 -0.1896451  ... -0.10400832 -0.14172731
 -0.05491997]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",SEVEN EIGHTY EIGHT RINAT IN DIFI DIREC TO GOTILE
speedbird one five six contact rhein one two seven three seven ,011_0014,"[-0.14656717 -0.00065674  0.00864593 ... -0.02861007  0.02709397
 -0.08817033]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",BE BAT ONE FIVE SIX CONTICTRINE ONE TWO SEVEN THREE SEVEN
foxtrot sierra india rhein identified climb flight level two six zero ,011_0015,"[-0.13626406 -0.11520902  0.03161526 ... -0.05085522 -0.16262299
  0.00089104]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4]",FOXOZIERA INDIA RINAD AND DEFIENT CLIMEFLIHT LEVEL TO SIXYRO
transwede one zero one proceed direct to hochwald thereafter st prex ,011_0016,"[-0.16133568 -0.22472386 -0.09110506 ... -0.07388909 -0.20005903
  0.04187104]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",TRANSWIT ONCE SE ROBAN PROSSY DIRECT TO HOKWAUT SA AFTER SOMBRY
foxtrot sierra india report heading ,011_0017,"[-0.17741433 -0.14708875 -0.27983963 ... -0.05115318 -0.07070771
 -0.09783139]",[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4],FOCSCOTIERA INDIA REPONTHEADING
roger turn left heading one eight five ,011_0018,"[-0.03637495 -0.14136676 -0.23577453 ... -0.00244262 -0.00952937
  0.001616  ]","[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 4]",OR TO TURN LEFT HEADING ONE EIGHT FIVE
india tango alfa sierra alfa rhein identified ,011_0019,"[-0.04389158 -0.18598789 -0.32990265 ... -0.00447993  0.02135924
  0.00105993]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",IN DIA TENGO ALFA SIERA A FA RINE IDENTIFIED
sabena four eight one contact rhein one three two decimal four ,011_0020,"[-0.05108872 -0.01890654 -0.0178577  ... -0.14721021  0.02728979
 -0.02872634]","[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",SABINA POD ONE CONTECTRINE ONE THREE TWO DESMAL FOUR
india sierra alfa turn one five degrees to the left ,011_0021,"[-0.0967404  -0.26865983 -0.20746008 ... -0.05864833 -0.03714086
 -0.02671138]","[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 4 3 3 3 4 3 3 3 3 4]",IN THE ASIERA ALFA TURN ONE FIVE DEGREES TO THE LEFT
hapag lloyd six five three rhein identified climb flight level two seven zero ,011_0022,"[-0.07780734 -0.25237882 -0.48026127 ...  0.0379826   0.01739158
  0.00071303]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 4]",I BUK LO AT SIX FIVE THREE RHYNAD AND DEFIND PLANP FLAD LEVELL TO SEVEN SYVON
swissair nine three five two rhein one two seven decimal three seven ,011_0023,"[-0.10869981 -0.12967843 -0.18197943 ... -0.03383072  0.00503559
  0.0010474 ]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",SREE SENINE TREE FIVE TWO RINE ONE TWO SEVEN DESMUTR SEVEN
lufthansa eight two six eight climb flight level two nine zero ,011_0024,"[-0.17519774 -0.35861784 -0.15954192 ... -0.02066096 -0.11500631
 -0.21836123]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",LUF TANSA EIGHT TWO SIX EIGHT GLAMFLAT LEVEL TWO NINE ON CYRO
foxtrot sierra india climb flight level two seven zero ,011_0025,"[-0.10661256 -0.03202388 -0.04743313 ... -0.14543766 -0.19826151
 -0.04027977]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",FOCS COTZIERA INDIA CLIME FLIGHT LEVEL TOO SEVEN SIVO
hapag lloyd six five three climb flight level two nine zero set course trasadingen ,011_0026,"[-0.04303122 -0.31341708 -0.0531839  ... -0.26197198 -0.22927411
 -0.10506634]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 3 4]",HAPAKLOID SIX FIVE THREE GLAMFLIGHT LEVEL TWO NIN OSILS AT CONSTRASADINGEN
malaysian two rhein identified ,011_0027,"[-0.09073168  0.04184271 -0.03849819 ... -0.11724677 -0.00196327
  0.00874102]",[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],ALLEGION TWO RHINAD AND DEFINED
foxtrot sierra india turn left heading one seven five climb flight level three seven zero ,011_0028,"[-0.13602407 -0.28612393 -0.14457555 ... -0.06503215 -0.18255068
 -0.02278549]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",FOX TORZIERA INDIA TURN LEFT HADDING ONE AS SEVEN FIVE CLIMB FLIGHT LEVL TREE SEVEN CYRO
india sierra alfa turn right to frankfurt ,011_0029,"[ 0.04203142  0.09656288 -0.09607602 ...  0.03497534 -0.01506255
  0.00100856]","[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 3 3 3 4]",INDIASIERA ILFAR TURN RIGHT TO FRONGFOOT
sabena eight three eight contact rhein one two seven three seven ,011_0030,"[-0.08351633 -0.19657375 -0.1940745  ... -0.07521649 -0.19325891
 -0.10590923]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",SEPINA EIGHTTRY EIGHT CONTNINE ONE TWO SEVEN THREE SEVEN
swissair six five two zero rhein do you read ,011_0031,"[-0.06873664 -0.06064898 -0.02860085 ...  0.01822429 -0.00042759
  0.00081411]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3
 3 3 4 3 3 3 3 4]",SPICA A SIX FIVE TO A CIVEL RINE DO YOU LEAD
lufthansa eight two six eight contact zurich one three four decimal six ,011_0032,"[-0.15150048 -0.29285845 -0.29951036 ... -0.03988904 -0.13742183
 -0.20267308]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LUFTANS A EIGHT TWO SIX EIGHT CONTEXILI ON TRI FOUR DESIMAL SIX
constellation two two five one rhein identified ,011_0033,"[-0.06420537 -0.3118981  -0.2784256  ...  0.03286295 -0.03534533
 -0.20457971]","[3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 3 3 3 4]",CONSOLATION TO TWO FIVE FON RHINE I DENTIFIED
transwede one zero one contact zurich one three three decimal four ,011_0034,"[-0.04049664 -0.1479532  -0.10689948 ...  0.00469892  0.00370114
  0.00099611]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3
 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",GRANSVID ONE SI ROBON CONTEXILISH ONE TRETREDESMALFORT
foxtrot sierra india set course to trasadingen ,011_0035,"[-0.02089656 -0.16185534 -0.02863917 ...  0.0193273  -0.0947989
 -0.09849574]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 4]",FOLKS WHATS YER BY INDIA SAID CARS TO TRARSATINGIN
foxtrot sierra india report rate of climb ,011_0036,"[-0.24603596 -0.27607754  0.03020974 ... -0.09837007 -0.19395743
  0.03530668]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 4 3
 3 3 3 3 4]",FOLKS HOGT SIERA INDIA REPOTRADE OFF CLIME
roger keep this rate until reaching ,011_0037,"[-0.07037867 -0.10450293 -0.10948282 ... -0.09548913 -0.26399544
  0.011078  ]",[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4],ARCHER KEEP THIS RIGHT UNTIL REACHING
swissair six five two zero rhein radar do you read ,011_0038,"[-0.0289165  -0.35142264 -0.19802271 ... -0.05255902  0.02012436
 -0.05524199]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 4 3 3 3 4 3 3 3 3 4]",SMIHS ER SIX FIVE TU SIROVINE RATAR DO YOU READ
foxtrot sierra india contact zurich one three three decimal four ,011_0039,"[-0.19232474 -0.17498693 -0.13672799 ... -0.05050902 -0.05712224
 -0.05172916]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",FOCSTO TIARINDIA CONTECT SILVIQUONTRETREAT AS MAFORM
olympic one four four rhein identified ,011_0040,"[-0.21567823 -0.495832   -0.62701523 ...  0.04335724 -0.29675004
  0.00244049]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",OR LIMPIC ONE FALLFALL RHINE IDENTIFIED
malaysian two contact rhein one two seven three seven ,011_0041,"[-0.16120811 -0.22742121 -0.33155113 ... -0.10233406 -0.16509505
 -0.04400121]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",MALATION TWO CONTICNINE ONE TWO SEVEN THREE SEVEN
georgia air rhein radar identified ,011_0042,"[-0.12177487 -0.24708074 -0.18023577 ... -0.13167785 -0.03312917
  0.00097493]",[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],CHARTIA ER RHINE REDA IDENTIFIED
sobelair two five five seven rhein identified ,011_0043,"[ 0.00114161 -0.28757045 -0.1002099  ...  0.01665716 -0.07487238
 -0.14942726]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",SOBLY A TWO FIVE FIVE SEVEN RHINIDE AN DEFIED
~k ~l ~m three hundred kilo rhein identified ,011_0044,"[-3.6563879e-01 -7.0417261e-01 -8.6608514e-02 ... -1.7260804e-04
  1.8077844e-01 -2.0799012e-01]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 4]",CALEMTREE HUNTRED KILORHINE I DENTIFIED HAPAKLOIT SIX FIVE TREETS TO RETRATE A WONE TRE FOURDESIMAL SIX TETIOGAMANIA
station calling say again ,011_0045,"[-0.12253444 -0.25106138 -0.10992704 ...  0.05429828 -0.04721697
 -0.17390998]",[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4],STATION COLLING THIGEN
transwede one zero seven rhein identified ,011_0046,"[-0.2967498  -0.4080208  -0.11170442 ... -0.21027018 -0.19553502
  0.001991  ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",RANSWID ONCE HE WAS SEVEN RYNIGHT AND DEFINED
india sierra alfa contact rhein one two seven three seven ,011_0047,"[-0.03760444 -0.09563506 -0.10755543 ... -0.11817007 -0.017169
  0.0200341 ]","[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",INDIANSIERRA EFA CONTECT LINE ONE TWO SEVEN THREE SEVEN
alitalia one one seven rhein identified olympic one four four request your heading ,011_0048,"[-1.5318583e-01 -3.6687046e-01 -3.6986396e-01 ... -4.7557838e-02
 -4.0628728e-01 -1.2728868e-05]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 4 3 3 3 3 3 3 3 4]",AITALIA BON VON SEVEN RHINI DEDN DEFIED OLYMPIC ONE FOLFOGLIC VESTUR HEADING
olympic one four four turn left heading one one five for separation ,011_0049,"[-0.00747717 -0.27235427 -0.19206312 ...  0.02596284 -0.207843
  0.00133665]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",WILLIMPI GUON FORFOR TUN LEFT HADDING ONE ONE FIVE FOR SEPARATION
jet set eight one seven rhein identified ,011_0050,"[-0.08302825  0.04611935 -0.10558604 ... -0.23062846 -0.07660703
 -0.18497135]","[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",SHE HAD SAID EIGHT ONE SEVEN RHINE I DIDNDIFINED
constellation two two five one contact rhein one three two decimal four ,011_0051,"[-0.02856565 -0.12069622 -0.38964653 ... -0.05092873 -0.15019925
 -0.15448156]","[3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",CONSTELLATION TWO TWO FIVE ONE CONTECRINE ONE TRI TWO DESMAL FOUR
air malta zero zero four rhein radar identified ,011_0052,"[ 0.00899571 -0.26166072 -0.24745405 ...  0.05212352 -0.20264398
 -0.14272882]","[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 3 3 3 4]",ER MARTA TEOCEOFORRINE RAT IDENDIFINED
olympic one four four set course direct to tango ,011_0053,"[-0.22073278 -0.43925986 -0.15594712 ... -0.11796942 -0.00427204
 -0.16478412]","[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 3 3 4 3 3 4 3 3 3 3 3 4]",OLYMPIQUONE FAR FAR SAT CAUSED ALEC TO TANGLE
sobelair two five five seven request heading ,011_0054,"[-0.09966452 -0.09477684 -0.17041667 ... -0.07772595 -0.22065917
 -0.05372505]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 3 4]",SOBERLY AR TWO FIVE FIVE SEMALI VEST HEADING
sobelair two five five seven turn left heading one one zero separation ,011_0055,"[-0.17556384 -0.29277548 -0.15146801 ... -0.05765895 -0.20458621
 -0.06442402]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",SOBE AR TWO FIVE FIVE SEVENTURN LEFT HEADING ONE ONE SERO SEPARATION
georgia zero three seven contact rhein one two seven three seven ,011_0056,"[-0.0856966  -0.1727274  -0.12450887 ... -0.13993624  0.04706821
  0.00096254]","[3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",TORTIARS THE RO THREE SEVEN CONTICINE ONE TWO SEVEN THREE SEVEN
viva five eight five rhein radar identified ,011_0057,"[-0.0577474  -0.16895622 -0.16513705 ... -0.08957028  0.03765376
  0.00098871]","[3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4]",LEAVE OUR FIVE FEHT FIVE FRINE RADA I DEN DEFINED
air malta zero zero four for separation descend flight level three one zero ,011_0058,"[-0.10796501  0.07061653 -0.2041485  ...  0.08839175 -0.44260332
 -0.22694477]","[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 4]",AMALTA CRO CERO FOUR FOR SEPARATION TO SAND FLOOD LEVEL TRIVONSIL
jet set eight one seven contact rhein one two seven decimal three seven ,011_0059,"[-0.09528239 -0.00514904  0.05471147 ... -0.15082663  0.05053894
  0.00098209]","[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",CHETS HAD EIGHT ONE SEVEN CONTICTLINE ONE TWO SEVEN DESNAL THREE SEVEN
~k ~l ~m two six four rhein identified ,011_0060,"[ 0.00159022  0.04829497 -0.2084807  ... -0.00467957 -0.1326518
  0.00126066]","[3 3 4 3 3 4 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",CARLEM TWO SIX FOUR RHINE IDENTIFIED
