transcription,recording_id,model_transcription
portugalia five four three bonjour maintain flight level three one zero via st prex la tour du pin ,071_0721,portugalia five four three bonjour maintain flight level three one zero via st prex la tour du pin
blue five seven two turn now right direct to canne ,081_0198,blue five seven two turn now right direct to canne
alitalia two nine two good morning squawk two seven six one ,111_0101,alitalia two nine two good morning squawk two seven six one
condor nine seven two turn left to sierra papa romeo ,111_0620,condor nine seven two turn left to sierra papa romeo
sata nine six zero one bonjour cleared direct la tour du pin flight level three three zero ,071_0760,sata nine six zero one bonjour cleared ah direct la tour du pin flight level three three zero
alitalia one one nine own navigation canne ,081_0689,alitalia one one nine own navigation canne
midland seven two zero turn right by one five degrees ,011_0128,midland seven two zero turn right by one five degrees
aero lloyd three eight one roger descend to flight level two five zero ,091_0147,aero lloyd three eight one roger descend to flight level two five zero
lufthansa three six zero four is identified climb to flight level three hundred ,041_0565,lufthansa three six zero four is identified climb to flight level three hundred
lufthansa four five seven five good morning radar contact continue climb flight level three one zero ,081_0655,lufthansa four five seven five good morning radar contact continue climb flight level three one zero
exact ,111_0627,expect
alitalia four one six contact now rhein control on one three two four ,101_0439,alitalia four one six contact now rhein control on one three two four
lufthansa four four one six right turn heading one eight zero ,071_0279,lufthansa four four one six right turn heading one eight zero
bama one five zurich radar good morning identified maintain flight level three three zero trasadingen stand by ,091_0997,bama one five zurich radar good morning identified maintain flight level three three zero trasadingenstand by
tag delta mike echo identified climb flight level two seven zero ,021_0251,tag delta mike echo identified climb flight level two seven zero
sierra alfa foxtrot one one two non r v s m you are identified ,021_0078,sierra alfa foxtrot one one two non r v s m you are identified
ah roger turn ah left heading two one five to keep you within the airway ,092_0161,ah roger turn ah left heading two one five t keep you with indierre
tag aero lloyd five six two identified climb flight level two seven zero ,021_0312,tag aero lloyd five six two identified climb flight level two seven zero
alitalia one one nine call zurich on one three four decimal six ,012_0105,alitalia one one nine call zurich on one three four decimal six
sobelair two five two one contact rhein one three two decimal four tschuss ,031_0169,sobelair two five two one contact rhein one three two decimal four tschuss
lufthansa four two zero nine continue descent ah disregard ill call you back for further descent in a minute ,041_0620,lufthansa four two zero nine continue descent ah disregard ill call you back further descent in a minute
netherlands air force four one four rhein radar identified confirm non masp ,051_0068,netherlands air force four one four rhein radar identified confirm non masp
aero lloyd five nine zero continue climb to level three zero zero ,061_0268,aero lloyd five nine zero continue climb to level three zero zero
okay switch over to reims please ,101_0891,okays with a o two rheins please
okay ah descend to flight level three four zero and turn right one zero degrees ,081_0883,okay ah descend to flight level three four zero and turn right one zero degrees
swissair four eight eight good morning radar contact ill call you back with further climb ,091_0364,swissair four eight eight good morning radar contact ill call you back with further climb
britannia three zero six alfa rhein radar one three two decimal four ,041_0141,britannia three zero six alfa rhein radar one three two decimal four
nato ten contact rhein radar one two seven decimal three seven ,051_0793,nato ten contact rhein radar one two seven decimal three seven
alitalia two one six identified cleared st prex arbos epinal climb to flight level three zero zero ,071_0668,alitalia two one six identified cleared st prex armo sabina climb to flight level three zero zero
good morning german air force four nine zero one radar contact maintain flight level three four zero trasadingen st prex ,081_0963,good morning german air force four nine zero one radar contact maintain flight level three four zero trasadingen st prex
speedbird seven seven whiskey whiskey contact reims one three four decimal four good day ,092_0407,speedbird seven seven whiskee whiskee contact reims one three four decimal four good day
air malta four five zero contact rhein one three two decimal four bye bye ,092_0066,air malta four five zero contact rhein one three two decimal four bye bye
saudia one zero six good afternoon identified ,041_0029,saudia one zero six good afternoon identified
alitalia one five zero good afternoon identified ,051_0267,alitalia one five zero good afternoon identified
jat two seven three is identified ,051_0647,air two seven three is identified
s ,021_0366,s
aero lloyd five six zero good morning radar contact maintain flight level three three zero trasadingen st prex ,091_0290,aero lloyd five six zero good morning radar contact maintain flight level three three zero trasadingen st prex
lufthansa four three nine three good morning radar contact proceed via trasadingen zurich east fusse ,082_0003,lufthansa four three nine three good morning radar contact proceed via trasadingen zurich east fusse
alitalia one five eight is cleared trasadingen direct to luxeuil ,101_0681,alitalia one five eight is cleared trasadingen direct to luxeuil
delta papa alfa good morning radar contact ,021_0427,delta papa alfa good morning radar contact
lufthansa four four one six climb to flight level three one zero ,111_0175,lufthansa four four one six climb to flight level three one zero
tag sabena eight three zero identified ,041_0213,tag sabena eight three zero identified
delta mike echo climb now flight level three five zero ,051_0327,delta mike echo climb now flight level three five zero
foxtrot sierra india rhein radar identified call you back for higher ,051_0009,foxtrot sierra india rhein radar identified cal you back further
aero lloyd five six two good morning ,111_0368,aero lloyd five six two good morning
lauda one zero nine from zurich ,101_0360,lauda one zero nine from zurich
rhein contact geneva one two eight decimal one five au revoir ,071_0836,and contact geneva one two eight decimal one five au revoir
ah delta echo charlie im not sure whether you got it you proceed to dinkelsbuhl ,011_0349,ah delta echo charlie immo two whether you gied you proceed direct to dinkelsbuhl
foxtrot sierra india climb flight level three three zero set course trasadingen ,021_0005,foxtrot sierra india climb flight level three three zero set course trasadingen
delta mike echo turn left one zero degrees ,101_0796,delta mike echo turn left one zero degrees
golf juliett india turn right to trasadingen tango romeo alfa ,041_0052,golf juliett india turn right to trasadingen tango romeo alfa
turkish five one five contact rhein one two seven decimal three seven ,071_0289,burkaish five one five contact rhein one two seven decimal three seven
tag alitalia one one seven identified what is your rate of climb ,061_0043,tag alitalia one one seven identified what is your rate of climb
alitalia three hundred contact paris on one three three decimal eight two good bye ,081_0062,alitalia three hundred contact raris on one three three decimal eight two good bye
aero lloyd five one seven contact rhein control one two zero decimal nine two bye ,091_0898,aero lloyd five one seven contact rhein control one two zero decimal nine two bye
midland seven two zero set course to costa ,011_0136,midland seven two zero set course to costa
lufthansa four two zero nine rhein ,051_0294,lufthansa four two zero nine rhein
aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route ,041_0733,aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route
k l m three four six contact rhein one two seven three seven tschuss ,061_0413,k l m three four six contact rhein one two seven three seven tschuss
hapag lloyd three five five one zurich frequency one three three four tschu ,051_0567,hapag lloyd three five five one zurich frequency one three three four tschu
lufthansa four three nine three descend flight level three one zero ,091_0374,lufthansa four three nine three descend flight level three one zero
aviva nine zero eight one descend flight level three three zero rate two thousand ,111_0508,aviva nine zero eight one descend flight level three three zero rate two thousand
roger ill call you back for further climb ,071_0632,algirail call you back for further climb
lufthansa four seven zero three good morning radar contact maintain flight level three four zero proceed zurich east fusse ,101_0280,lufthansa four seven zero three good morning radar contact maintain flight level three four zero proceed zurich east fusse
swissair nine three five nine contact rhein one three two four tschuss ,021_0305,swissair nine three five nine contact rhein one three two four tschuss
oscar hotel india rhein radar identified ,031_0108,oscar hotel india rhein radar identified
viva nine zero eight one milan one three four five two good bye ,091_0654,viva nine zero eight one milan one three four five two good bye
l t u seven seven five six climb to flight level three five zero ,072_0187,l t u seven seven five six climb to flight level three five zero
constellation two two five one contact rhein one three two decimal four ,061_0512,constellation two two five one contact rhein one three two decimal four
bama one five turn now right direct to zulu uniform echo ,051_0178,bama one five turn now right direct to zuro yunifa mecho
roger k l m three four six squawk two seven six six ,111_0631,roger k l m three for six squawk two seven six six
alitalia four one three climb to level two five zero direct trasadingen ,041_0542,alitalia four one three climb to level two five zero direct trasadingen
sabena four eight one turn to delta kilo bravo ,041_0404,sabena four eight one turn to delta kilo bravo
lufthansa four seven zero three zurich radar good afternoon maintain flight level three five zero ,101_0868,lufthansa four seven zero three zurich radar good afternoon maintain flight level three five zero
air malta zero zero four call rhein one two seven three seven ,061_0279,air malta zero zero four call rhein one two seven three seven
lufthansa eight two two one ah milan one three four five two good bye ,081_0383,lufthansa eight two two one milan one three four five two good bye
ah station calling say again the callsign please ,092_0117,ah station calling say again the callsign please
speedbird two five seven seven identified cleared aosta st prex rolampont and climb to flight level three four zero ,071_0710,speedbird two five seven seven identified cleared aosta st prex rolampont and climb to flight level three four zero
tunair four eight zero two contact rhein one two seven decimal three seven ,041_0761,tunair four eight zero two contact rhein one two seven decimal three seven
jetaviation seven zero one descend to flight lev ah disregard maintain level three four zero ,092_0379,jetaviation seven zero one descend to flight level ah disregard maintain level three four zero
hallo alitalia four one three identified maintain two five zero upon reaching ,051_0617,a lu alitalia four one three identified maintain two five zero pon reaching
german air force five eight five set course to frankfurt ,031_0052,german air force five eight five set course to frankfurt
alright one three three one five please ,101_0459,a right one three three one five please
india lima oscar oscar kilo zurich radar good afternoon youre identified route trasadingen saronno maintain flight level two nine zero call you back for further climb ,101_0932,india lima oscar oscar kilo zurich radar good afternoon youre identified route trasadingen saronno maintain flight level two nine zero call you back for further climb
lufthansa eight two six eight call zurich on one three four decimal six ,012_0029,lufthansa eight two six eight call zurich on one three four decimal six
sabena nine three seven two calling ,081_0030,sabena nine three seven two calling
air portugal five one one three climb now correction air portugal four one one three climb to flight level three three zero ,081_0377,air portugal five one one three climb now correction air portugal four one one three climb to flight level three three zero
swissair nine three five nine continue descent to flight level three one zero ,021_0663,swissair nine three five nine continue descent to flight level three one zero
roger what is your position ,101_0199,roger ah what is your position
ascot nine three one nine set course direct to rolampont ,071_0424,ascot nine three one nine set course direct to rolampont
delta echo bravo climb initially to flight level three two zero ,091_0966,delta echo bravo climb initially to flight level three two zero
foxtrot sierra india milan one three four five two good bye ,081_0789,foxtrot sierra india milan one three four five two good bye
con ah so pick up ah heading of ah one six five ,041_0490,con so pick up ah heading of ah one six five
k l m three four six is identified report your heading please ,031_0568,k l m three four six is identified report your heading please
sabena seven eight one six turn r left to nattenheim ,061_0581,sabena seven eight turn left to nattenheim
alitalia four eight five contact zurich one three three decimal four ,031_0477,alitalia four eight five contact zurich one three three decimal four
lufthansa four six six five milan one three four decimal five two bye bye ,101_1032,lufthansa four six six five milan one three four decimal five two bye bye
hapag lloyd six five three climb to level three one zero ,041_0419,hapag lloyd six five three climb to level three one zero
netherlands four one four non r v s m radar contact ,041_0462,netherlands four one four non r v s m radar contact
k l m three four six climb to flight level three two zero ,071_0028,k l m three four six climb to flight level three two zero
stand by air malta zero zero four turn right heading zero three zero ,111_0012,stand by air malta zero zero four turn right heading zero three zero
l t u seven seven five six good afternoon roger ,091_0652,l t u seven seven five six good afternoon roger
emirates eight one good morning maintain level three three zero trasadingen zurich east to fusse ,081_0196,amerids eight one good morning maintain level three three zero trasadingen zurich east to fusle
merair six nine four four direct to trasadingen ,071_0102,merair six nine four four direct to trasadingen
sunwing five two one four contact zurich one three three decimal four ,021_0699,sunwing five two one four contact zurich one three three decimal four
gulf air zero three two turn further left heading zero eight zero ,091_0631,gulf air zero three two turn further left heading zero eight zero
ah good morning netherlands air force three five in radar contact ,012_0117,ah good morning netherlands air force three five fen radar contact
hapag lloyd one one two contact rhein radar one two seven decimal three seven ,041_0034,hapag lloyd one one two contact rhein radar one two seven decimal three seven
air malta one hundred good morning squawk five seven one seven ,111_0122,air malta one hundred good morning squawk five seven one seven
air malta four five zero proceed to zulu uniform echo ,111_0754,air malta four five zero proceed to zero uniform echo
alitalia two three four contact reims one three two decimal two seven au revoir ,072_0095,alitalia two three four contact reims one three two decimal two seven au revoir
lufthansa four two zero seven good afternoon in radar contact ,071_0021,lufthansa four two zero seven good afternoon in radar contact
and swissair six five five two contact milan one three four five two good bye ,091_0608,and swissair six five five two contact milan one three four five two good bye
meridiana six nine five two proceed now own navigation to trasadingen tango romeo alfa ,012_0289,meridiana six nine five two proceed now own navigation to trasadingen tango romeo alfa
ah delta mike echo disregard maintain heading ,051_0812,ah delta mike echo disregard maintain heading
air malta one hundred reims one three four four good bye ,092_0383,air malta one hundred reims one three four four good bye
portugal four one one three contact zurich one three four decimal six au revoir ,072_0140,portugal four one one three contact zurich one three four decimal six au revoir
bama one five as well milan one three four five two bye bye ,091_1049,bama one five suell milan one three four five two bye bye
four four two correct rate of descent two thousand feet or more please ,092_0120,four four two correct rate of descent two thousand feet or more please
merair six nine five two climb flight level two five zero ,041_0284,merair six nine five two climb flight level two five zero
roger cleared passeiry la tour du pin flight level three zero zero ,071_0798,roger cleared ah passeiry la tour du pin flight level three zero zero
swissair eight zero six report your rate of climb ,011_0220,swissair eight zero six report your rate of climb
k l m three hundred kilo for shortcut turn left by ten degrees ,031_0040,k l m three hundred kilo four short cut turn left by ten degrees
sabena eight three two turn left one five degrees ,021_0424,sabena eight three two turn left one five degrees
k l m three four six climb flight level three two zero ,041_0234,k l m three four six climb flight level three two zero
swissair eight zero six climb now flight level three five zero one thousand five hundred or more ,041_0209,swissair eight zero six climb now flight level three five zero one thousand five hundred or more
lufthansa five three one eight contact milan one three four five two bye ,111_0429,lufthansa five three one eight contact milan one three four five two bye
thank you ,101_0453,thank you
constellation two two five one rhein radar identified ,031_0020,constellation two two five one rhein radar identified
lufthansa three five six six continue climb to flight level two nine zero ,051_0653,lufthansa three five six six continue climb to flight level two nine zero
lufthansa three five five zero descend to flight level two five zero ,092_0068,lufthansa three five five zero descend to flight level two five zero
golf juliett india descend to flight level two nine zero ,101_0798,golf juliett india descend to flight level two nine zero
austrian four one six whiskey zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero ,111_0365,austian four one six whiskee zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero
airfrans one five five four turn left for heading of zero nine zero ,081_0525,airfrans one five five four turn affour heading of zero nine zero
swissair eight zero six contact rhein radar one two seven decimal three seven ,031_0574,swissair eight zero six contact rhein radar one two seven decimal three seven
tag hotel bravo india tango romeo identified ill call you back shortly for higher ,031_0215,tag hotel bravo india tango romeo identified ill call you back shortly for higher
alitalia four eight seven call zurich on one three four decimal six buongiorno ,021_0487,alitalia four eight seven call zurich on one three four decimal six bongiurno
alitalia four eight five descend to flight level two nine zero ,081_0886,alitalia four eight five descend to flight level two nine zero
alitalia two three four bonjour squawk five seven seven five ,071_0380,alitalia two three four bonjour squawk five seven seven five
tarom three seven four report your heading ,041_0635,tarom three seven four report your heading
bye bye ,031_0547,bye bye
india fox golf turn right to zurich east ,111_0163,india fox golf turn right to zurich east
airfrans three two six one own navigation to st prex ,111_0038,airfrans three two six one own navigation to st prex
thats correct ,091_0341,thats correct
luftha sorry speedway three three five two descend to flight level two nine zero ,091_1061,lufthans sorry speedway three three five two descend to flight level two nine zero
hapag lloyd one seven one ah geneva one three three one five good bye ,092_0241,hapag lloyd one seven one geneva one three three one five good bye
united six nine descend flight level two nine zero ,081_0651,united six nine descend flight level two nine zero
swissair six seven five two contact marseille on ah one two five eight five good bye ,071_0509,swissair six seven five two contact marseille on ah one two five eight five good bye
blue five seven two good morning descend to flight level three four zero ,091_0008,blue five seven two good morning descend to flight level three four zero
lufthansa three three three zero climb to flight level two nine zero ,021_0707,lufthansa three three three zero climb to flight level two nine zero
bee med one rhein ,051_0315,bee med one rhein
alitalia six four seven four contact rhein one two seven three seven tschuss ,061_0414,alitalia six four seven four contact rhein one two seven three seven tschuss
united six nine own navigation to fusse ,111_0142,united six nine own navigation to fusse
europa three six three descend flight level three eight zero ,031_0113,europa three six three descend flight level three eight zero
sabena eight three six identified ,041_0614,sabena eight three six identified
indialook expect higher after kilo romeo hotel ill call you back ,051_0241,indialook expect higher after kilo romeo hotel ill call you back
hoi k l m two six four identified ,061_0076,mike l m two six four identified
sabena eight zero one right turn trasadingen ,031_0533,sabena eight zero one right turn trasadingen
india mike lima lima guten tag identified ,021_0089,india mike lima lima guten tag identified
tag malaysian two identified ,061_0026,tag malasian two identified
air malta zero zero four radar contact direct karlsruhe ,091_0282,air malta zero zero four radar contact direct karlsruhe
ah lufthansa four five five zero four proceed own navigation to trasadingen ,051_0290,ah lufthansa four five five zero four proceed own navigation to trasadingen
yeah ,051_0300,get
speedbird nine four november is your callsign ,111_0693,speedbird nine four november as con
ill call you back ,051_0198,ill call you back
air inter three two zero papa hotel is identified maintain level three two zero trasa hochwald morok ,111_0032,air inter three two zero papa hotel is identified maintain level three two zero trasa hochwald morok
lufthansa three five zero eight speed at own convenience contact zurich one three four six tschuss ,041_0396,lufthansa three five zero eight speed on convenience contact zurich one three four six tschuss
airfrans three two six one turn left heading two five five climb to level two nine zero ,081_0192,airfrans three two six one turn left heading two five five climb to level two nine zero
lufthansa five five zero four proceed own navigation to trasadingen ,021_0615,lufthansa five five zero four proceed own navigation to trasadingen
lufthansa four two two three good afternoon radar contact trasadingen zurich east fusse ,101_0220,lufthansa four two two three good afternoon radar contact trasadingen zurich east fusse
sabena eight three zero contact rhein one two seven three seven tschu ,021_0200,sabena eight three zero contact rhein one two seven three seven tschu
adria one six two seven is identified ,051_0732,adria one six two seven is identified
speedway three four six nine good morning roger ,111_0054,speedway three four six nine good morning roger
gulf air zero zero five contact rhein radar one two seven decimal three seven ,012_0306,gulf air zero zero five contact rhein radar one two seven decimal three seven
lufthansa three six three eight zurich radar one three four decimal six ,051_0171,lufthansa three six three eight zurich radar one three four decimal six
lufthansa triple five zero resume own navigation inbound fribourg ,082_0048,lufthansa triple five zero resume own navigation inbound fribourg
lufthansa five two one seven guten tag identified proceed direct to dinkelsbuhl ,021_0284,lufthansa five two one seven guten tag identified proceed direct to dinkelsbuhl
alitalia one five seven radar contact ,041_0529,alitalia one five seven radar contact
german air force five eight five contact rhein one three ah one two seven three seven ,051_0510,german air force five eight five contact rhein one three ah one two seven three seven
bye ,111_0217,bye
delta echo bravo ,111_0642,delta echo bravo
scandinavian six one seven descend to flight level two nine zero descend at one thousand five hundred feet per minute or more ,011_0285,scandinavian six one seven descend to flight level two nine zero descend at one thousand five hundred feet per minute or more
jetcom one three three for further climb zurich one three three four good bye ,092_0233,jetcom one three three for further climb zurich one three three four good bye
bee med one contact rhein radar one three two decimal four ,031_0638,bee med one contact rhein radar one three two decimal four
condor one zero four contact now zurich on one three three decimal four good bye ,092_0242,condor one zero four contact now zurich on one three three decimal four good bye
tag alitalia four eight five identified ,061_0092,tag alitalia four eight five identified
tag german air force five eight five identified report your heading ,051_0469,tag german air force five eight five identified report your heading
midland seven two zero contact rhein one two seven decimal three seven ,021_0133,midland seven two zero contact rhein one two seven decimal three seven
u s air one four direct fusse ,081_0573,u s air one four direct fusse
roger ill call you back ,041_0422,roger ill call you back
lufthansa five two one seven is identified good afternoon ,041_0110,lufthansa five two one seven is identified good afternoon
alitalia four zero one contact zurich one three four decimal six ,011_0109,alitalia four zero one contact zurich one three four decimal six
lufthansa five nine three one bonjour maintain flight level three zero zero st prex willisau ,071_0679,lufthansa five nine three one bonjour maintain flight level three zero zero st prex willisau
lufthansa four five eight two good morning ,111_0375,lufthansa four five eight two good morning
l t u seven seven five six ah geneva one two eight one five good bye ,071_0513,l t u seven seven five six ah geneva one two eight one five good bye
sabena eight three two contact rhein one two seven three seven ,011_0083,sabena eight three two contact rhein one two seven three seven
transavia three zero six three you have been sent to wrong frequency contact rhein one three two decimal four ,041_0708,transavia three zero six three of geenscend to rhein frequency contact rhein one three two decimal four
tag sunwing five two one two identified ,021_0288,tag sunwing five two one two identified
sabena four eight one contact rhein one three two decimal four ,051_0011,sabena four eight one contact rhein one three two decimal four
jetaviation ah seven oh one squawk two seven three two ,081_0873,jetaviation ah seven oh one squawk two seven three two
sabena seven eight one six radar contact proceed trasadingen karlsruhe ,081_0473,sabena seven eight one six radar contact proceed trasadingen karlsruhe
the lufthansa three six zero four is identified climb to flight level two five zero initially ,041_0007,be lufthansa three six zero four is identified climb to flight level two five zero initially
swissair six five two zero good afternoon radar contact climb flight level three two zero ,111_0390,swissair six five two zero good afternoon radar contact climb flight level three two zero
sabena four one eight four eight one descend flight level two nine zero ,031_0384,sabena four one eight four eight one descend flight level two nine zero
aerovic one zero six one call now genev sorry m milan one three four decimal five two bye bye ,101_1033,aerovic one zero six one call now genev sorrin milan one three four decimal five two bye bye
aero lloyd five nine zero contact zurich one three four decimal six ,011_0088,aero lloyd five nine zero contact zurich one three four decimal six
k l m two six four for shortcut turn left by ten degrees ,031_0050,k l m two six four for short cut turn left by ten degrees
correct ,091_1010,correct
transwede one zero seven contact geneva one three three one five bye bye ,082_0095,transwede one zero seven contact geneva one three three one five bye bye
aerovic one zero six one maintain your speed decimal seven five or less ,041_0670,aerovic one zero six one maintain your speed decimal seven five four less
alitalia four eight five descend to flight level two nine zero ,091_0207,alitalia four eight five descend to flight level two nine zero
hamburg air two five four six marseille one two five eight five good bye ,081_0133,hamburg air two five four six marseille one two five eight five good bye
alitalia two nine one turn now right to trasadingen ,041_0124,alitalia two nine one turn now right to trasadingen
roger turn left heading two two zero ,071_0462,roger turn left heading two two zero
alitalia one one seven good morning descend to level three three zero ,101_0632,alitalia one one seven good morning descend to level three three zero
georgia zero three seven contact rhein one two seven decimal three seven ,051_0053,georgia zero three seven contact rhein one two seven decimal three seven
lufthansa three five zero eight climb flight level three zero zero expedite climb ,041_0378,lufthansa three five zero eight climb flight level three zero zero expetaid climb
air link one three call milan one three four decimal five two bye bye ,111_0319,airlink one three call milan one three four decimal five two bye bye
roger turn left heading three three zero to permit further climb ,072_0035,roger turn left heading three three zero to permit further climb
tag belstar five zero two hotel identified ,051_0528,trabelsa five zero two hotel identified
aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex that is sierra papa romeo and then flight planned route ,021_0705,aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex a sierra papa romeo and then flight planned route
alitalia two nine two radar contact climb flight level two nine zero ,091_0413,alitalia two nine two radar contact climb flight level two nine zero
hapag lloyd six five three good afternoon climb to flight level three three zero ,081_0762,hapag lloyd six five three good afternoon climb to flight level three three zero
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,051_0061,aero lloyd five nine zero rhein radar identified climb flight level two nine zero
aero lloyd five one seven contact rhein one two zero nine two tschuss ,091_0645,aero lloyd five one seven contact rhein one two zero nine two tschuss
india foxtrot golf is identified ill call you back for higher in two minutes ,092_0316,india foxtrot golf is identified i call you back for higher in two minutes
tag lufthansa three five zero eight identified maintain two four zero upon reaching ill call you back for higher ,031_0327,tag lufthansa three five zero eight identified maintain two four zero pone region ill call you back for eigh
leisure six zero two four ah in radar contact ,041_0425,leisure six zero two four ah in radar contact
lufthansa eight two two one good morning radar contact ,111_0127,lufthansa eight two two one good morning radar contact
sabena eight zero six climb flight level three four zero ,101_0212,sabena eight zero six climb flight level three four zero
britannia three zero six alfa contact rhein one three two decimal four tschuss ,061_0493,britannia three zero six alfa contact rhein one three two decimal four tschuss
lufthansa eight two six eight expect further climb in about one and a half minute ,051_0430,lufthansa eight two six eight expect further climb in about one an haf minute
onur nine eight nine radar contact ,061_0232,onur nine eight nine radar contact
swissair nine three five two climb to flight level three five zero ,041_0413,swissair nine three five two climb to flight level three five zero
alitalia three six nine turn right to trasa ,031_0700,alitalia three six nine turn right to trasa
swissair nine three five nine descend now flight level three three zero descend at two thousand feet per minute or more ,011_0310,swissair nine three five nine descend now flight level three three zero descend two thousand feet a minute or more
lufthansa five two three six is identified proceed direct to november tango mike ,051_0676,lufthansa five two three six is identified proceed direct to november tango mike
lufthansa four four zero eight direct st prex ,101_0312,lufthansa four four zero eight direct st prex
lufthansa four three nine zero proceed direct to canne ,111_0609,lufthansa four three nine zero proceed direct to canne
l t u seven seven five six ah good afternoon roger ,081_0823,l t u seven seven five six ah good afternoon roger
mission six zero one five three own navigation to tango ,101_0714,mitian six zero one five three own navigation to tango
swissair nine three six zero climb to flight level three one zero initially ,021_0530,swissair nine three six zero climb to flight level three one zero initially
and speedbird one two nine who cleared you down to flight level one four zero ,071_0015,and speedbird one two nine who cleared you down to flight level one four zero
tag alitalia one three five identified ,041_0324,tag alitalia one three five identified
belgian airforce four four contact rhein radar one two seven decimal three seven ,012_0271,belgian airforce four four contact rhein radar one two seven decimal three seven
tag hapag lloyd one one two identified direct frankfurt ,031_0175,tag hapag lloyd one one two identified direct frankfurt
transwede one zero seven geneva one three three one five good bye ,081_0324,transwede one zero seven geneva one three three one five good bye
alitalia four zero one milan one three four five two good bye ,092_0390,alitalia four zero one milan one three four five two good bye
alitalia four zero four ,101_0452,alitalia four zero four
alitalia four zero one continue present heading ,081_0360,alitalia four zero one continue present heading
