transcription,recording_id,model_transcription
turkair nine two five good morning squawk one zero zero five ,091_0914,tagar nine two five good morning squawk one zero zero five
swissair eight zero six contact rhein one two seven three seven good day ,071_0004,swissair eight zero six contact rhein one two seven three seven good day
lufthansa four seven two three milan one three four five two good bye ,091_0566,lufthansa four seven two three milan one three four five two good bye
speedbird ah one two f four contact rhein one two seven three seven ,051_0127,speedbird ah one two four contact rhein one two seven three seven
hapag lloyd three five five one guten tag radar contact ,012_0097,hapag lloyd three five five one goontag radar contact
sabena eight zero six turn right by one five degrees climb flight level three four zero ,101_0468,sapein eight zero six turn right by one five degrees climb flight level three four zero
tarom three seven four is in radar contact ,021_0617,tarm three seven fource in radar contact
tag lufthansa three five six six identified climb flight level two seven zero ,031_0173,tag luftnsair three five six six identified climb fligh level two seven zero
lufthansa three five seven seven rhein one three two one three two four tschuss ,092_0243,lufthansa three five seven seven rhein one three two one three two four goodges
oscar oscar papa hotel india rhein radar identified ,011_0107,oscar oscar papa hotel india rhein radar identified
sabena three zero two contact rhein one two seven three seven tschuss ,031_0265,sabena three zero two contact rhein one two seven three seven tschuss
and hotel bravo india ah disregard ,021_0568,an hotel bravo india ah disregar
alitalia four eight five call zurich on one three three decimal four ,021_0464,alitalia four eight five call zurich on one three three decimal four
lufthansa three five five zero contact zurich one three four decimal six ,051_0284,lufthansa three five five zero contact zuri one three four decimal six
portugalia five four three bonjour maintain flight level three one zero via st prex la tour du pin ,071_0721,portugalia five four three bonjour maintain flight level three one zero via st prex laturdupar
blue five seven two turn now right direct to canne ,081_0198,blue five seven two turn now right direct to canne
alitalia two nine two good morning squawk two seven six one ,111_0101,alitalia two nine two good morning squawk two seven six one
condor nine seven two turn left to sierra papa romeo ,111_0620,conar nine seven two tun left to sierra papa romero
sata nine six zero one bonjour cleared direct la tour du pin flight level three three zero ,071_0760,tatar nine six zero one bonjour clear du dag la tour dupan flight level three three zero
alitalia one one nine own navigation canne ,081_0689,alitalia one one nine own navigation kanem
midland seven two zero turn right by one five degrees ,011_0128,midland seven two zero turn right by one five degrees
aero lloyd three eight one roger descend to flight level two five zero ,091_0147,aerloy three eight one roger descend to flight level two five zero
lufthansa three six zero four is identified climb to flight level three hundred ,041_0565,glufthansa three six zero force identified climb to flight level three hundred
lufthansa four five seven five good morning radar contact continue climb flight level three one zero ,081_0655,lufthansa four five seven five good morning radar contact continue climb flight level three one zero
exact ,111_0627,exact
alitalia four one six contact now rhein control on one three two four ,101_0439,alitalia four one six contact now rhein control one three two four
lufthansa four four one six right turn heading one eight zero ,071_0279,lufthansa four four one six right turn heading one eight zero
bama one five zurich radar good morning identified maintain flight level three three zero trasadingen stand by ,091_0997,bama one five zurich radar good morning identified maintain flight level three three zero transadingian stemmi
tag delta mike echo identified climb flight level two seven zero ,021_0251,tag delta mige echo identified climb flight level two seven zero
sierra alfa foxtrot one one two non r v s m you are identified ,021_0078,sierra alfa foxtrot one one two non r v s m youre identified
ah roger turn ah left heading two one five to keep you within the airway ,092_0161,ah roger turna left heading two one five to keep you within diairway
tag aero lloyd five six two identified climb flight level two seven zero ,021_0312,tarair lloyd five six two identified climb flight level two seven zero
alitalia one one nine call zurich on one three four decimal six ,012_0105,alitalia one one nine call zurich on one three four decimal six
sobelair two five two one contact rhein one three two decimal four tschuss ,031_0169,sobelair two five two one contact rhein one three two decimal four tschuss
lufthansa four two zero nine continue descent ah disregard ill call you back for further descent in a minute ,041_0620,lufthansa four two zero nine continue descent ah tusregard i call you beck further descend in a minute
netherlands air force four one four rhein radar identified confirm non masp ,051_0068,netherlands air force four one four rhein radar identified confirm non musp
aero lloyd five nine zero continue climb to level three zero zero ,061_0268,air lloyd five nine zero continue climb to level three zero zero
okay switch over to reims please ,101_0891,au kase with over two runs please
okay ah descend to flight level three four zero and turn right one zero degrees ,081_0883,okaia descend flight level three four zero and turn right one zero degrees
swissair four eight eight good morning radar contact ill call you back with further climb ,091_0364,swissair four eight eigh good morning radar content i call you back with further climb
britannia three zero six alfa rhein radar one three two decimal four ,041_0141,britannia three zero six alfa rhein radar one three two decimal four
nato ten contact rhein radar one two seven decimal three seven ,051_0793,nato ten contact rhein radar one two seven decimal three seven
alitalia two one six identified cleared st prex arbos epinal climb to flight level three zero zero ,071_0668,alitalia two one six identified clear st prex arbo sipinal climb t flect level three zero zero
good morning german air force four nine zero one radar contact maintain flight level three four zero trasadingen st prex ,081_0963,good morning german air force four nine zero one radar contact maintain flight level three four zero trasatting sant prex
speedbird seven seven whiskey whiskey contact reims one three four decimal four good day ,092_0407,speedbird seven seven whiskey whiskey contact reims one three four decimal four good day
air malta four five zero contact rhein one three two decimal four bye bye ,092_0066,ermalta four five zero contact rhein one three two decimal four bye bye
saudia one zero six good afternoon identified ,041_0029,sadia ronzero six good afternoon identified
alitalia one five zero good afternoon identified ,051_0267,alitalia one five zero graftarnoon identified
jat two seven three is identified ,051_0647,yet two seven three is identified
s ,021_0366,as
aero lloyd five six zero good morning radar contact maintain flight level three three zero trasadingen st prex ,091_0290,aero lloyd five six zero good morning radar contact maintain flight level three three zero tun setting s m prex
lufthansa four three nine three good morning radar contact proceed via trasadingen zurich east fusse ,082_0003,lufthansa four three nine three good morning radar contact preseid mye transwatting zuri gisfusing
alitalia one five eight is cleared trasadingen direct to luxeuil ,101_0681,alitaria one five eight is cleared trasadingen direct to riksoy
delta papa alfa good morning radar contact ,021_0427,delta papa alfa good morning radar contact
lufthansa four four one six climb to flight level three one zero ,111_0175,lufthansa four four one six climb to flight level three one zero
tag sabena eight three zero identified ,041_0213,tag sobein i three zero identified
delta mike echo climb now flight level three five zero ,051_0327,delta mike echo climb now flight level three five zero
foxtrot sierra india rhein radar identified call you back for higher ,051_0009,fox sautzierra india rhein radar identified call backfire
aero lloyd five six two good morning ,111_0368,aero lloyd five six two good morning
lauda one zero nine from zurich ,101_0360,lauda one zero nine fum zuring
rhein contact geneva one two eight decimal one five au revoir ,071_0836,and contact geneva one two eight decimal one five au revoir
ah delta echo charlie im not sure whether you got it you proceed to dinkelsbuhl ,011_0349,adelta echo charlie im not sure whether you guidet you proceed direct to dinkelspure
foxtrot sierra india climb flight level three three zero set course trasadingen ,021_0005,foxtrot sierra india climb flight level three three zero set course trasadingen
delta mike echo turn left one zero degrees ,101_0796,delta mike co turn left one zero degrees
golf juliett india turn right to trasadingen tango romeo alfa ,041_0052,golftulid india turn right to transatingen tango romi alfa
turkish five one five contact rhein one two seven decimal three seven ,071_0289,turkaig five one five contact rhein one two seven decimal three seven
tag alitalia one one seven identified what is your rate of climb ,061_0043,tag alitalia one one seven identified what is your rate of climb
alitalia three hundred contact paris on one three three decimal eight two good bye ,081_0062,alitalia three hundred contact wirissond one three three decimal eight two good bye
aero lloyd five one seven contact rhein control one two zero decimal nine two bye ,091_0898,aero lloyd five one seven contact rhein control one two zero decimal nine two bye
midland seven two zero set course to costa ,011_0136,midland seven two zero set course to kosta
lufthansa four two zero nine rhein ,051_0294,lufthansa four two zero nine rhein
aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route ,041_0733,aero lloyd five six two proceed to rotel oscar charlie afterwards some prex flight planned route
k l m three four six contact rhein one two seven three seven tschuss ,061_0413,k l m three four six contact rhein one two seven three seven tschuss
hapag lloyd three five five one zurich frequency one three three four tschu ,051_0567,apacloyd three five five one zuroich frequency one three three four tschu
lufthansa four three nine three descend flight level three one zero ,091_0374,lufthansa four three nine three descend flight level three one zero
aviva nine zero eight one descend flight level three three zero rate two thousand ,111_0508,even nine zero eight one descend flight level three three zero rate two thousand
roger ill call you back for further climb ,071_0632,algerlcal you back for further climb
lufthansa four seven zero three good morning radar contact maintain flight level three four zero proceed zurich east fusse ,101_0280,lufthansa four seven zero thrigo morning radar contact maintain flight level three four zero fusse zuri gis fusse
swissair nine three five nine contact rhein one three two four tschuss ,021_0305,swissair nine three five nine contact rhein one three two four tschuss
oscar hotel india rhein radar identified ,031_0108,oscar hotel india rhein radar identified
viva nine zero eight one milan one three four five two good bye ,091_0654,viva nine zero eight one milan one three four five two good bye
l t u seven seven five six climb to flight level three five zero ,072_0187,l t u seven seven five six flimb to flight level three five zero
constellation two two five one contact rhein one three two decimal four ,061_0512,constellation two two five one contact rhein one three two decimal four
bama one five turn now right direct to zulu uniform echo ,051_0178,bama one five turn now right direct to zulu yunifa mecho
roger k l m three four six squawk two seven six six ,111_0631,roger at k l m three four six squawk two seven six six
alitalia four one three climb to level two five zero direct trasadingen ,041_0542,alitalia four one three climb to level two five zero direct trasading
sabena four eight one turn to delta kilo bravo ,041_0404,sabena four eight one turn to delta kilo bravo
lufthansa four seven zero three zurich radar good afternoon maintain flight level three five zero ,101_0868,afthansa four seven zero three zurich radar good afternoon maintain flight level three five zero
air malta zero zero four call rhein one two seven three seven ,061_0279,air malta zero zero four call rhein one two seven three seven
lufthansa eight two two one ah milan one three four five two good bye ,081_0383,lufthansa eight two two one milan one three four five two good bye
ah station calling say again the callsign please ,092_0117,a station calling segenda call some please
speedbird two five seven seven identified cleared aosta st prex rolampont and climb to flight level three four zero ,071_0710,speedbird two five seven seven identified cleardausta sat prerolampon and climb to flight level three four zero
tunair four eight zero two contact rhein one two seven decimal three seven ,041_0761,tunair four eight zero two contact rhein one two seven decimal three seven
jetaviation seven zero one descend to flight lev ah disregard maintain level three four zero ,092_0379,tettivation seven zero one descent to flight lev ah tisregard maintain level three four zero
hallo alitalia four one three identified maintain two five zero upon reaching ,051_0617,aloalitalia four one three identified maintain two five zero pon reaching
german air force five eight five set course to frankfurt ,031_0052,german airforce five eight five set course to frankfurt
alright one three three one five please ,101_0459,aright one three three one five playse
india lima oscar oscar kilo zurich radar good afternoon youre identified route trasadingen saronno maintain flight level two nine zero call you back for further climb ,101_0932,india limoskroskor kilo zurich rater aughor afternoon youre identified route transadingen sarona maintain flight level two nine zero call you back for further climb
lufthansa eight two six eight call zurich on one three four decimal six ,012_0029,lufthansa eight two six eight call zurich on one three four decimal six
sabena nine three seven two calling ,081_0030,sabena nine three seven two calling
air portugal five one one three climb now correction air portugal four one one three climb to flight level three three zero ,081_0377,air portugal five one one three climb not correction air portugal four one one three climb to flight level three three zero
swissair nine three five nine continue descent to flight level three one zero ,021_0663,swissair nine three five nine continue descend to flight level three one zero
roger what is your position ,101_0199,what you ah what is your position
ascot nine three one nine set course direct to rolampont ,071_0424,ascot nine three one nine set course direct to holompon
delta echo bravo climb initially to flight level three two zero ,091_0966,delta echo bravo climb initially to flight level three two zero
foxtrot sierra india milan one three four five two good bye ,081_0789,fox routierra india milan one three four five two good bye
con ah so pick up ah heading of ah one six five ,041_0490,con so pick up a heading of one six five
k l m three four six is identified report your heading please ,031_0568,k l m three four six is identified report your heading please
sabena seven eight one six turn r left to nattenheim ,061_0581,sabena seven eight one six turn left to nattenheim
alitalia four eight five contact zurich one three three decimal four ,031_0477,alitalia four eight five contact zurich one three three decimal four
lufthansa four six six five milan one three four decimal five two bye bye ,101_1032,lufthansa four six six five milan one three four decimal five two bye bye
hapag lloyd six five three climb to level three one zero ,041_0419,abag lloyd six five three climb to level three one zero
netherlands four one four non r v s m radar contact ,041_0462,netherlands four one four non ariosm radar contact
k l m three four six climb to flight level three two zero ,071_0028,k l m three four six climb to flight level three two zero
stand by air malta zero zero four turn right heading zero three zero ,111_0012,stand bye air malta zero zero four turn right heading zero three zero
l t u seven seven five six good afternoon roger ,091_0652,l t u seven seven five six good afternoon roger
emirates eight one good morning maintain level three three zero trasadingen zurich east to fusse ,081_0196,emurots eight one good morning maintain level three three zero trasadingen zurikees to fusfair
merair six nine four four direct to trasadingen ,071_0102,mar air six nine four four direct to trasadingem
sunwing five two one four contact zurich one three three decimal four ,021_0699,sunwing five two one four contact zurich one three three decimal four
gulf air zero three two turn further left heading zero eight zero ,091_0631,gulf air zero three two turn further left heading zero eight zero
ah good morning netherlands air force three five in radar contact ,012_0117,ah good morning netherlands air force three five f in radar contact
hapag lloyd one one two contact rhein radar one two seven decimal three seven ,041_0034,apglloyd one one two contact rhein radar one two seven decimal three seven
air malta one hundred good morning squawk five seven one seven ,111_0122,air malta one hundred good morning squawk five seven one seven
air malta four five zero proceed to zulu uniform echo ,111_0754,amalta four five zero proceed to zulo uniform echo
alitalia two three four contact reims one three two decimal two seven au revoir ,072_0095,alitalia two three four contact reims one three two decimal two seven au revoir
lufthansa four two zero seven good afternoon in radar contact ,071_0021,lufthansa four two zero seven good afternoon in radar contact
and swissair six five five two contact milan one three four five two good bye ,091_0608,an swissair six five five two contact milan one three four five two good bye
meridiana six nine five two proceed now own navigation to trasadingen tango romeo alfa ,012_0289,lraliana six nine five two proceed norhn navigation to trasadingen tango romeo alfa
ah delta mike echo disregard maintain heading ,051_0812,ah delta mike echo disregard maintain heading
air malta one hundred reims one three four four good bye ,092_0383,air malta one hundred reims one three four four good bye
portugal four one one three contact zurich one three four decimal six au revoir ,072_0140,portugal four one one three contact zurich one three four decimal six so revoir
bama one five as well milan one three four five two bye bye ,091_1049,bamma one five swehl milan one three four five two bye bye
four four two correct rate of descent two thousand feet or more please ,092_0120,four four two correct rate of descent two thousand feet or more please
merair six nine five two climb flight level two five zero ,041_0284,may six nine five two climb flight level two five zero
roger cleared passeiry la tour du pin flight level three zero zero ,071_0798,roger clear the pas zuri latur dupa flight level three zero zero
swissair eight zero six report your rate of climb ,011_0220,swissair eight zero six report your rate of climb
k l m three hundred kilo for shortcut turn left by ten degrees ,031_0040,k l m three hundred kilo four short catturn left by ten degrees
sabena eight three two turn left one five degrees ,021_0424,saben eight three two turn left one five degrees
k l m three four six climb flight level three two zero ,041_0234,k l m three four six climb flight level three two zero
swissair eight zero six climb now flight level three five zero one thousand five hundred or more ,041_0209,swissair eight zero six climb now flight level three five zero one thousand five hunador more
lufthansa five three one eight contact milan one three four five two bye ,111_0429,lufthansa five three one canta milan one three four five two bye
thank you ,101_0453,thank you
constellation two two five one rhein radar identified ,031_0020,constellation two two five one rhein radar identified
lufthansa three five six six continue climb to flight level two nine zero ,051_0653,lufthansa three five six six continue climb to flight level two nine zero
lufthansa three five five zero descend to flight level two five zero ,092_0068,lufthansa three five five zero descend to flight level two five zero
golf juliett india descend to flight level two nine zero ,101_0798,golf tulid india descend flight level two nine zero
austrian four one six whiskey zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero ,111_0365,austian four one six swisskey zurich rate a good morning identified trasadingzuri gist fu s maintain flight level three four zero
airfrans one five five four turn left for heading of zero nine zero ,081_0525,airfrans one five five four ten left four heading of zero nine zero
swissair eight zero six contact rhein radar one two seven decimal three seven ,031_0574,swissair eight zero six contact rheine radar one two seven decimal three seven
tag hotel bravo india tango romeo identified ill call you back shortly for higher ,031_0215,taroteir bravo india tango romeo identified call you back short livfor higher
alitalia four eight seven call zurich on one three four decimal six buongiorno ,021_0487,alitalia four eight seven call zurich on one three four decimal six sponjano
alitalia four eight five descend to flight level two nine zero ,081_0886,alitalia four eight five descend to flight level two nine zero
alitalia two three four bonjour squawk five seven seven five ,071_0380,italia two three four bonjour squawk five seven seven five
tarom three seven four report your heading ,041_0635,tarom three seven four report your heading
bye bye ,031_0547,ababoy
india fox golf turn right to zurich east ,111_0163,india fox golf turn right two zurickist
airfrans three two six one own navigation to st prex ,111_0038,airfrans three two six one own navigation to st prex
thats correct ,091_0341,tats correct
luftha sorry speedway three three five two descend to flight level two nine zero ,091_1061,luftha sorry speedway three three five two descend to flight level two nine zero
hapag lloyd one seven one ah geneva one three three one five good bye ,092_0241,hapag lloyd one seven one geneva one three three one five good bye
united six nine descend flight level two nine zero ,081_0651,unarti six nine descend flight level two nine zero
swissair six seven five two contact marseille on ah one two five eight five good bye ,071_0509,sssair six seven five two contact marselionah one two five eight five good bye
blue five seven two good morning descend to flight level three four zero ,091_0008,blue five seven two good morning descend to flight level three four zero
lufthansa three three three zero climb to flight level two nine zero ,021_0707,lufthansa three three three zero climb to flight level two nine zero
bee med one rhein ,051_0315,bemed one rhein
alitalia six four seven four contact rhein one two seven three seven tschuss ,061_0414,alitalia six four seven four contact rhein one two seven three seven tschuss
united six nine own navigation to fusse ,111_0142,united six nine rown navigation to fusse
europa three six three descend flight level three eight zero ,031_0113,aero pa three six three descend flight level three eight zero
sabena eight three six identified ,041_0614,sabena eight three six identified
indialook expect higher after kilo romeo hotel ill call you back ,051_0241,annialook expect higher aftar kiloro mero tella call you back
hoi k l m two six four identified ,061_0076,k l m two six four identified
sabena eight zero one right turn trasadingen ,031_0533,sabena eight zero one right and trasadingen
india mike lima lima guten tag identified ,021_0089,india mag lima lima goodntag identified
tag malaysian two identified ,061_0026,tarmalation two identified
air malta zero zero four radar contact direct karlsruhe ,091_0282,amalta zero zero four radar contact direct harsru eir
ah lufthansa four five five zero four proceed own navigation to trasadingen ,051_0290,a lufthansa four five five zero four proceed own navigation to trasadingen
yeah ,051_0300,aye
speedbird nine four november is your callsign ,111_0693,sbeetbird nine four november is a callsign
ill call you back ,051_0198,i call you back
air inter three two zero papa hotel is identified maintain level three two zero trasa hochwald morok ,111_0032,aeranta three two zero papa tel is identified maintain level three two zero trasa ho k walt morok
lufthansa three five zero eight speed at own convenience contact zurich one three four six tschuss ,041_0396,klofthansa three five zero eight speed eirt on convenience contact zurich one three four six tschuss
airfrans three two six one turn left heading two five five climb to level two nine zero ,081_0192,lairfrans three two six one turn left heading two five five climb to level two nine zero
lufthansa five five zero four proceed own navigation to trasadingen ,021_0615,lufthansa five five zero four proceed own navigation to trasadingen
lufthansa four two two three good afternoon radar contact trasadingen zurich east fusse ,101_0220,lufthansa four two two three good afternoon radar contact transfurting zurrugeese fusset
sabena eight three zero contact rhein one two seven three seven tschu ,021_0200,sabena eight three zero contact rhein one two seven three seven tschu
adria one six two seven is identified ,051_0732,adria one six two seven is identified
speedway three four six nine good morning roger ,111_0054,speedway three four six nine good morning roger
gulf air zero zero five contact rhein radar one two seven decimal three seven ,012_0306,gulf a zero zero five contact rhein radar one two seven decimal three seven
lufthansa three six three eight zurich radar one three four decimal six ,051_0171,lufthansa three six three eight zurich radar one three four decimal six
lufthansa triple five zero resume own navigation inbound fribourg ,082_0048,lufthansa tripo five zero resume own avigation in belfied borok
lufthansa five two one seven guten tag identified proceed direct to dinkelsbuhl ,021_0284,lufthandra five two one seven ontag identified proceed direct to dinkelsbuh
alitalia one five seven radar contact ,041_0529,alitalia one five seven radar contact
german air force five eight five contact rhein one three ah one two seven three seven ,051_0510,german airforce five eight five contact rhein one three one two seven three seven
bye ,111_0217,in
delta echo bravo ,111_0642,delta echo bravo
scandinavian six one seven descend to flight level two nine zero descend at one thousand five hundred feet per minute or more ,011_0285,skeninairian six one seven descend to flight level two nine zero descended one thousand five hundred feet per minute or more
jetcom one three three for further climb zurich one three three four good bye ,092_0233,jetcom one three three for further climb zurich one three three four good bye
bee med one contact rhein radar one three two decimal four ,031_0638,bemaird one contact rhein radar one three two decimal four
condor one zero four contact now zurich on one three three decimal four good bye ,092_0242,condor one zero four contact now zurich on one three three decimal four good bye
tag alitalia four eight five identified ,061_0092,tag alitalia foyght five identified
tag german air force five eight five identified report your heading ,051_0469,targiorm airforce five eight five identified report your heading
midland seven two zero contact rhein one two seven decimal three seven ,021_0133,midland seven two zero contact rhein one two seven decimal three seven
u s air one four direct fusse ,081_0573,u s air one four direct fusse
roger ill call you back ,041_0422,a tag calling back
lufthansa five two one seven is identified good afternoon ,041_0110,lufthansa five two one seven is identified good afternoon
alitalia four zero one contact zurich one three four decimal six ,011_0109,alitalia four zero one contact zurich one three four decimal six
lufthansa five nine three one bonjour maintain flight level three zero zero st prex willisau ,071_0679,stansa five nine three one bonjour maintain flight level three zero zero st prex willisaru
lufthansa four five eight two good morning ,111_0375,hufthansa four five eight two good morning
l t u seven seven five six ah geneva one two eight one five good bye ,071_0513,l t u seven seven five six ah geneva one two it one five good bye
sabena eight three two contact rhein one two seven three seven ,011_0083,sabena eight three two contact rhein one two seven three seven
transavia three zero six three you have been sent to wrong frequency contact rhein one three two decimal four ,041_0708,transavia three zero six three youf been sent two wrong frequency contact rhein one three two decimal four
tag sunwing five two one two identified ,021_0288,tag sunwing five two one two identified
sabena four eight one contact rhein one three two decimal four ,051_0011,sabena four eight one contact rhein one three two decimal four
jetaviation ah seven oh one squawk two seven three two ,081_0873,jet daviation a seven one squawk two seven three two
sabena seven eight one six radar contact proceed trasadingen karlsruhe ,081_0473,sebeinair seven eight one six radar contact proceed transiteng karlsruhe
the lufthansa three six zero four is identified climb to flight level two five zero initially ,041_0007,lufthansa three six zero force identified climb to flight level two five zero initially
swissair six five two zero good afternoon radar contact climb flight level three two zero ,111_0390,swissair six five two zero good afternoon radar contact climb flight level three two zero
sabena four one eight four eight one descend flight level two nine zero ,031_0384,sabena four one eight four eight one descend flight level two nine zero
aerovic one zero six one call now genev sorry m milan one three four decimal five two bye bye ,101_1033,airvak one zero six one colnaugene sorrim glan one three four decimal five two bye bye
aero lloyd five nine zero contact zurich one three four decimal six ,011_0088,aero lloyd five nine zero contact zurich one three four decimal six
k l m two six four for shortcut turn left by ten degrees ,031_0050,k l m two six four four short catturn left bye ten degrees
correct ,091_1010,correct
transwede one zero seven contact geneva one three three one five bye bye ,082_0095,transwede one zero seven contact geneva one three three one five bye bye
aerovic one zero six one maintain your speed decimal seven five or less ,041_0670,aerieweck one zero six one maintain your speed decimal seven five four less
alitalia four eight five descend to flight level two nine zero ,091_0207,alitalia four eight five descend to flight level two nine zero
hamburg air two five four six marseille one two five eight five good bye ,081_0133,hamburg air two five four six marseil one two five eight five good bye
alitalia two nine one turn now right to trasadingen ,041_0124,alitalia two nine one turn now right to trasadingen
roger turn left heading two two zero ,071_0462,ajurton leftending two two zero
alitalia one one seven good morning descend to level three three zero ,101_0632,alitalia one one seven good morning descend to level three three zero
georgia zero three seven contact rhein one two seven decimal three seven ,051_0053,georgia zero three seven contact rhein one two seven decimal three seven
lufthansa three five zero eight climb flight level three zero zero expedite climb ,041_0378,lufthansa three five zero eight climb flight level three zero zero experight climb
air link one three call milan one three four decimal five two bye bye ,111_0319,arling one three call milan one three four decimal five two bye bye
roger turn left heading three three zero to permit further climb ,072_0035,agerturn left heading three three zero to permit further climb
tag belstar five zero two hotel identified ,051_0528,tabelso five zero two hotel identified
aero lloyd five six two proceed from present position to hochwald hotel oscar charlie afterwards to st prex that is sierra papa romeo and then flight planned route ,021_0705,aero lloyd five six two proceed from presant position to rogh valt hotel oscar charlie afterwards two sompreix the du sierra papa romeo and then flight plen route
alitalia two nine two radar contact climb flight level two nine zero ,091_0413,alitalia two nine two radar contact climb flight level two nine zero
hapag lloyd six five three good afternoon climb to flight level three three zero ,081_0762,apag lloyd six five three good afternoon climb to fight level three three zero
aero lloyd five nine zero rhein radar identified climb flight level two nine zero ,051_0061,aero lloyd five nine zero rhein radar identified climb flight level two nine zero
aero lloyd five one seven contact rhein one two zero nine two tschuss ,091_0645,aero lloyd five one seven contact rhein one two zero nine two gess
india foxtrot golf is identified ill call you back for higher in two minutes ,092_0316,india fox rot golf is identified call you back for highrin two minutes
tag lufthansa three five zero eight identified maintain two four zero upon reaching ill call you back for higher ,031_0327,tag lufthansa three five zero eight identified maintain two four zero pon retingal call you back for higher
leisure six zero two four ah in radar contact ,041_0425,lesiar six zero two four ah in radar contact
lufthansa eight two two one good morning radar contact ,111_0127,lufthansa eight two two one good morning radar contact
sabena eight zero six climb flight level three four zero ,101_0212,sabena eight zero six climb flight level three four zero
britannia three zero six alfa contact rhein one three two decimal four tschuss ,061_0493,britannia three zero six alfa contact rhein one three two decimal four tschuss
lufthansa eight two six eight expect further climb in about one and a half minute ,051_0430,lufthansa eight two six eight expect further climb in about one a half minute
onur nine eight nine radar contact ,061_0232,onor nine eight nine radar contact
swissair nine three five two climb to flight level three five zero ,041_0413,swissair nine three five two climb to flight level three five zero
alitalia three six nine turn right to trasa ,031_0700,alitalia three six nine turn right to trasa
swissair nine three five nine descend now flight level three three zero descend at two thousand feet per minute or more ,011_0310,swissair nine three five nine descend now flight level three three zero descend at two thousand feet ten minute or more
lufthansa five two three six is identified proceed direct to november tango mike ,051_0676,lufthansa five two three six is identified proceed ta to november tango mike
lufthansa four four zero eight direct st prex ,101_0312,lufthansa four four zero eight direct sam prex
lufthansa four three nine zero proceed direct to canne ,111_0609,lufthansa four three nine zero proceed direct to canne
l t u seven seven five six ah good afternoon roger ,081_0823,ah t u seven seven five six sah good aftermoon roger
mission six zero one five three own navigation to tango ,101_0714,mission six zero one five three own navigation to tango
swissair nine three six zero climb to flight level three one zero initially ,021_0530,swissair nine three six zero climb to flight level three one zero initiallyn
and speedbird one two nine who cleared you down to flight level one four zero ,071_0015,and speedbird one two nine who cleared you down to flight level one four zero
tag alitalia one three five identified ,041_0324,tag alitalia one three five identified
belgian airforce four four contact rhein radar one two seven decimal three seven ,012_0271,belgian airforce four four contact rhein radar one two seven decimal three seven
tag hapag lloyd one one two identified direct frankfurt ,031_0175,tahabag lloyd one one two identified direct frankfurt
transwede one zero seven geneva one three three one five good bye ,081_0324,transwede one zero seven geneva one three three one five god bye
alitalia four zero one milan one three four five two good bye ,092_0390,alitalia four zero one milan one three four five two good bye
alitalia four zero four ,101_0452,alitalia four zero four
alitalia four zero one continue present heading ,081_0360,alitalia four zero one continue present heading
